Date;433 - Broad National Consumer Price Index (IPCA) - Monthly % var.;4449 - Broad National Consumer Price Index (IPCA) - Administred prices - Monthly % var.;11428 - Broad national consumer price index (IPCA) - non monitored prices - Monthly % var.;13522 - National consumer price index (IPCA) - in 12 months - %
06/2017;-0.23 ;-0.83 ;-0.04 ;3.00
07/2017;0.24 ;1.28 ;-0.09 ;2.71
08/2017;0.19 ;1.73 ;-0.31 ;2.46
09/2017;0.16 ;0.24 ;0.13 ;2.54
10/2017;0.42 ;0.98 ;0.23 ;2.70
11/2017;0.28 ;1.32 ;-0.07 ;2.80
12/2017;0.44 ;0.21 ;0.52 ;2.95
01/2018;0.29 ;0.20 ;0.32 ;2.86
02/2018;0.32 ;0.55 ;0.24 ;2.84
03/2018;0.09 ;0.23 ;0.04 ;2.68
04/2018;0.22 ;0.60 ;0.09 ;2.76
05/2018;0.40 ;1.37 ;0.07 ;2.86
06/2018;1.26 ;2.49 ;0.83 ;4.39
07/2018;0.33 ;0.89 ;0.13 ;4.48
08/2018;-0.09 ;0.12 ;-0.16 ;4.19
09/2018;0.48 ;0.96 ;0.31 ;4.53
10/2018;0.45 ;0.54 ;0.42 ;4.56
11/2018;-0.21 ;-1.00 ;0.07 ;4.05
12/2018;0.15 ;-0.89 ;0.52 ;3.75
01/2019;0.32 ;0.05 ;0.41 ;3.78
02/2019;0.43 ;0.29 ;0.48 ;3.89
03/2019;0.75 ;0.75 ;0.75 ;4.58
04/2019;0.57 ;1.03 ;0.41 ;4.94
05/2019;0.13 ;1.16 ;-0.23 ;4.66
06/2019;0.01 ;-0.19 ;0.08 ;3.37
07/2019;0.19 ;0.40 ;0.12 ;3.22
08/2019;0.11 ;0.60 ;-0.06 ;3.43
09/2019;-0.04 ;0.12 ;-0.10 ;2.89
10/2019;0.10 ;-0.11 ;0.18 ;2.54
11/2019;0.51 ;0.97 ;0.35 ;3.27
12/2019;1.15 ;0.35 ;1.44 ;4.31
01/2020;0.21 ;0.51 ;0.10 ;4.19
02/2020;0.25 ;-0.28 ;0.44 ;4.01
03/2020;0.07 ;-0.22 ;0.17 ;3.30
04/2020;-0.31 ;-2.06 ;0.30 ;2.40
05/2020;-0.38 ;-1.02 ;-0.16 ;1.88
06/2020;0.26 ;0.89 ;0.04 ;2.13
07/2020;0.36 ;1.23 ;0.06 ;2.31
08/2020;0.24 ;0.78 ;0.05 ;2.44
09/2020;0.64 ;0.13 ;0.82 ;3.14
10/2020;0.86 ;0.23 ;1.08 ;3.92
11/2020;0.89 ;0.41 ;1.06 ;4.31
12/2020;1.35 ;2.04 ;1.11 ;4.52
01/2021;0.25 ;-0.29 ;0.44 ;4.56
02/2021;0.86 ;1.69 ;0.58 ;5.20
03/2021;0.93 ;2.81 ;0.28 ;6.10
04/2021;0.31 ;0.38 ;0.28 ;6.76
05/2021;0.83 ;2.11 ;0.38 ;8.06
06/2021;0.53 ;0.81 ;0.43 ;8.35
07/2021;0.96 ;1.68 ;0.70 ;8.99
08/2021;0.87 ;0.95 ;0.84 ;9.68
09/2021;1.16 ;1.93 ;0.88 ;10.25
10/2021;1.25 ;1.35 ;1.21 ;10.67
Source;IBGE;BCB-Depec;BCB-Depec;IBGE
