"",BBSIS.M.I.UMR.RD.EUR.A.B.A.A.R.A.A._Z._Z.A,BBSIS.M.I.UMR.RD.EUR.A.B.A.A.R.A.A._Z._Z.A_FLAGS,BBSIS.M.I.UMR.RD.EUR.S122.B.A.A.R.A.A._Z._Z.A,BBSIS.M.I.UMR.RD.EUR.S122.B.A.A.R.A.A._Z._Z.A_FLAGS,BBSIS.M.I.UMR.RD.EUR.MFISX.B.X100.A.R.A.A._Z._Z.A,BBSIS.M.I.UMR.RD.EUR.MFISX.B.X100.A.R.A.A._Z._Z.A_FLAGS,BBSIS.M.I.UMR.RD.EUR.MFISX.B.A150.A.R.A.A._Z._Z.A,BBSIS.M.I.UMR.RD.EUR.MFISX.B.A150.A.R.A.A._Z._Z.A_FLAGS,BBSIS.M.I.UMR.RD.EUR.MFISP.B.A.A.R.A.A._Z._Z.A,BBSIS.M.I.UMR.RD.EUR.MFISP.B.A.A.R.A.A._Z._Z.A_FLAGS,BBSIS.M.I.UMR.RD.EUR.MFISX.B.X401.A.R.A.A._Z._Z.A,BBSIS.M.I.UMR.RD.EUR.MFISX.B.X401.A.R.A.A._Z._Z.A_FLAGS,BBSIS.M.I.UMR.RD.EUR.X2000.B.A.A.R.A.A._Z._Z.A,BBSIS.M.I.UMR.RD.EUR.X2000.B.A.A.R.A.A._Z._Z.A_FLAGS,BBSIS.M.I.UMR.RD.EUR.S13.B.A.A.R.A.A._Z._Z.A,BBSIS.M.I.UMR.RD.EUR.S13.B.A.A.R.A.A._Z._Z.A_FLAGS,BBSIS.M.I.UMR.RD.EUR.S1311.B.A604.A.R.A.A._Z._Z.A,BBSIS.M.I.UMR.RD.EUR.S1311.B.A604.A.R.A.A._Z._Z.A_FLAGS,BBSIS.M.I.UMR.RD.EUR.S1312.B.A.A.R.A.A._Z._Z.A,BBSIS.M.I.UMR.RD.EUR.S1312.B.A.A.R.A.A._Z._Z.A_FLAGS
1993-08,6.3,,6.4,,6.4,,6.3,,6.4,,6.4,,6.7,,6.2,,6.18,,6.1,
1993-09,6.1,,6.1,,6.1,,6.1,,6.1,,6.2,,6.6,,6.0,,6.00,,5.8,
1993-10,5.9,,6.0,,6.0,,6.0,,6.0,,6.0,,6.4,,5.8,,5.79,,5.7,
1993-11,5.7,,5.8,,5.8,,5.7,,5.8,,5.8,,6.3,,5.6,,5.63,,5.4,
1993-12,5.6,,5.6,,5.7,,5.6,,5.6,,5.7,,6.2,,5.5,,5.50,,5.4,
1994-01,5.5,,5.6,,5.7,,5.6,,5.6,,5.7,,6.3,,5.5,,5.47,,5.4,
1994-02,5.8,,5.8,,5.8,,5.8,,5.8,,5.9,,6.4,,5.8,,5.76,,5.8,
1994-03,6.2,,6.2,,6.2,,6.2,,6.2,,6.3,,6.5,,6.2,,6.16,,6.2,
1994-04,6.3,,6.4,,6.4,,6.4,,6.4,,6.4,,6.7,,6.3,,6.27,,6.4,
1994-05,6.5,,6.5,,6.5,,6.5,,6.5,,6.5,,6.9,,6.4,,6.44,,6.6,
1994-06,6.9,,6.9,,6.9,,6.9,,6.9,,6.9,,7.0,,6.9,,6.86,,6.9,
1994-07,6.8,,6.8,,6.9,,6.8,,6.9,,6.9,,7.1,,6.7,,6.72,,6.9,
1994-08,7.0,,7.0,,7.0,,7.0,,7.0,,7.0,,7.2,,6.9,,6.94,,7.0,
1994-09,7.4,,7.4,,7.4,,7.4,,7.4,,7.4,,7.5,,7.3,,7.34,,7.4,
1994-10,7.5,,7.5,,7.5,,7.5,,7.5,,7.5,,7.6,,7.4,,7.39,,7.5,
1994-11,7.4,,7.5,,7.5,,7.5,,7.5,,7.5,,7.5,,7.3,,7.35,,7.5,
1994-12,7.4,,7.5,,7.5,,7.5,,7.5,,7.5,,7.7,,7.4,,7.37,,7.5,
1995-01,7.5,,7.6,,7.6,,7.6,,7.6,,7.6,,7.9,,7.5,,7.47,,7.6,
1995-02,7.3,,7.4,,7.4,,7.3,,7.4,,7.4,,7.7,,7.3,,7.27,,7.4,
1995-03,7.1,,7.2,,7.2,,7.1,,7.1,,7.2,,7.4,,7.1,,7.06,,7.2,
1995-04,6.8,,6.8,,6.9,,6.8,,6.8,,6.9,,7.2,,6.8,,6.78,,7.0,
1995-05,6.6,,6.6,,6.6,,6.6,,6.6,,6.6,,7.1,,6.5,,6.51,,6.8,
1995-06,6.4,,6.4,,6.5,,6.4,,6.4,,6.5,,6.8,,6.4,,6.42,,6.7,
1995-07,6.5,,6.5,,6.6,,6.5,,6.5,,6.6,,6.9,,6.5,,6.50,,6.7,
1995-08,6.4,,6.4,,6.5,,6.4,,6.4,,6.4,,6.7,,6.4,,6.37,,6.6,
1995-09,6.1,,6.1,,6.2,,6.1,,6.1,,6.2,,6.5,,6.1,,6.14,,6.4,
1995-10,6.1,,6.1,,6.2,,6.0,,6.0,,6.1,,6.4,,6.1,,6.08,,6.4,
1995-11,5.8,,5.8,,5.8,,5.7,,5.7,,5.8,,6.0,,5.8,,5.79,,6.1,
1995-12,5.5,,5.5,,5.6,,5.5,,5.5,,5.6,,5.7,,5.6,,5.55,,5.9,
1996-01,5.3,,5.3,,5.4,,5.3,,5.3,,5.4,,5.6,,5.3,,5.33,,5.7,
1996-02,5.7,,5.6,,5.7,,5.6,,5.6,,5.6,,5.8,,5.7,,5.70,,5.9,
1996-03,5.8,,5.8,,5.8,,5.8,,5.7,,5.8,,6.3,,5.9,,5.88,,6.1,
1996-04,5.7,,5.7,,5.7,,5.7,,5.7,,5.7,,6.2,,5.8,,5.79,,6.0,
1996-05,5.7,,5.7,,5.7,,5.6,,5.7,,5.7,,6.2,,5.8,,5.81,,6.0,
1996-06,5.9,,5.8,,5.9,,5.8,,5.8,,5.8,,6.2,,6.0,,5.94,,6.1,
1996-07,5.9,,5.8,,5.9,,5.8,,5.8,,5.8,,6.1,,6.0,,5.94,,6.1,
1996-08,5.7,,5.6,,5.7,,5.6,,5.7,,5.6,,6.0,,5.7,,5.72,,6.0,
1996-09,5.5,,5.5,,5.5,,5.4,,5.5,,5.5,,5.7,,5.6,,5.60,,5.8,
1996-10,5.3,,5.2,,5.3,,5.2,,5.2,,5.2,,5.4,,5.4,,5.34,,5.6,
1996-11,5.2,,5.2,,5.2,,5.1,,5.2,,5.2,,5.4,,5.3,,5.27,,5.6,
1996-12,5.1,,5.1,,5.1,,5.0,,5.1,,5.2,,5.3,,5.2,,5.18,,5.5,
1997-01,5.1,,5.0,,5.1,,5.0,,5.0,,5.1,,5.2,,5.1,,5.10,,5.5,
1997-02,4.9,,4.8,,4.8,,4.8,,4.8,,4.9,,5.0,,4.9,,4.87,,5.3,
1997-03,5.1,,5.0,,5.0,,4.9,,5.0,,5.1,,5.1,,5.1,,5.09,,5.4,
1997-04,5.1,,5.1,,5.1,,5.0,,5.1,,5.2,,5.2,,5.2,,5.16,,5.6,
1997-05,5.0,,5.0,,5.0,,4.9,,5.0,,5.1,,5.1,,5.1,,5.07,,5.4,
1997-06,5.0,,4.9,,4.9,,4.9,,4.9,,5.1,,5.0,,5.0,,5.00,,5.4,
1997-07,4.9,,4.8,,4.8,,4.8,,4.8,,5.0,,4.9,,4.9,,4.88,,5.3,
1997-08,5.1,,5.0,,5.1,,5.0,,5.0,,5.2,,5.1,,5.1,,5.09,,5.4,
1997-09,5.1,,5.1,,5.1,,5.0,,5.1,,5.2,,5.1,,5.1,,5.09,,5.4,
1997-10,5.3,,5.2,,5.3,,5.2,,5.3,,5.4,,5.4,,5.3,,5.24,,5.5,
1997-11,5.3,,5.3,,5.3,,5.3,,5.3,,5.4,,5.6,,5.3,,5.24,,5.5,
1997-12,5.1,,5.1,,5.2,,5.1,,5.2,,5.3,,5.4,,5.1,,5.07,,5.4,
1998-01,4.9,,4.9,,4.9,,4.9,,4.9,,5.0,,5.1,,4.8,,4.80,,5.2,
1998-02,4.7,,4.8,,4.8,,4.7,,4.8,,4.9,,5.0,,4.7,,4.68,,5.0,
1998-03,4.7,,4.7,,4.8,,4.7,,4.7,,4.9,,4.9,,4.7,,4.65,,5.0,
1998-04,4.8,,4.8,,4.8,,4.8,,4.8,,4.9,,5.0,,4.7,,4.71,,5.0,
1998-05,4.8,,4.8,,4.9,,4.8,,4.8,,4.9,,5.5,,4.8,,4.76,,5.0,
1998-06,4.7,,4.7,,4.7,,4.7,,4.7,,4.8,,5.4,,4.6,,4.62,,4.9,
1998-07,4.6,,4.6,,4.6,,4.6,,4.6,,4.7,,5.3,,4.5,,4.52,,4.8,
1998-08,4.4,,4.4,,4.5,,4.4,,4.5,,4.6,,5.0,,4.3,,4.29,,4.7,
1998-09,4.1,,4.1,,4.2,,4.1,,4.2,,4.3,,4.8,,4.0,,3.99,,4.4,
1998-10,4.0,,4.1,,4.1,,4.0,,4.1,,4.2,,4.7,,4.0,,3.96,,4.3,
1998-11,4.1,,4.1,,4.1,,4.1,,4.1,,4.2,,4.7,,4.0,,3.99,,4.4,
1998-12,3.8,,3.8,,3.8,,3.8,,3.9,,4.0,,4.7,,3.7,,3.71,,4.1,
1999-01,3.6,,3.6,,3.6,,3.6,,3.6,,3.8,,4.4,,3.6,,3.53,,3.9,
1999-02,3.7,,3.7,,3.7,,3.7,,3.7,,3.8,,4.4,,3.7,,3.66,,3.9,
1999-03,3.8,,3.8,,3.8,,3.8,,3.8,,3.9,,4.5,,3.8,,3.82,,4.1,
1999-04,3.6,,3.6,,3.6,,3.6,,3.7,,3.8,,4.4,,3.6,,3.58,,3.9,
1999-05,3.7,,3.7,,3.7,,3.7,,3.8,,3.8,,4.4,,3.7,,3.69,,4.0,
1999-06,4.1,,4.1,,4.1,,4.1,,4.2,,4.2,,4.7,,4.1,,4.06,,4.3,
1999-07,4.4,,4.5,,4.4,,4.4,,4.5,,4.6,,5.0,,4.4,,4.39,,4.6,
1999-08,4.7,,4.8,,4.8,,4.8,,4.8,,4.9,,5.3,,4.7,,4.65,,4.9,
1999-09,4.9,,4.9,,4.9,,4.9,,5.0,,5.0,,5.4,,4.8,,4.80,,5.1,
1999-10,5.2,,5.2,,5.2,,5.2,,5.3,,5.3,,5.8,,5.1,,5.10,,5.3,
1999-11,5.0,,5.0,,5.0,,5.0,,5.1,,5.2,,5.8,,4.9,,4.88,,5.2,
1999-12,5.1,,5.1,,5.1,,5.1,,5.2,,5.3,,5.8,,5.0,,4.99,,5.2,
2000-01,5.4,,5.4,,5.4,,5.4,,5.5,,5.5,,6.0,,5.4,,5.34,,5.5,
2000-02,5.4,,5.5,,5.5,,5.5,,5.5,,5.6,,6.2,,5.4,,5.35,,5.6,
2000-03,5.3,,5.4,,5.4,,5.4,,5.4,,5.5,,6.2,,5.2,,5.21,,5.5,
2000-04,5.3,,5.3,,5.3,,5.3,,5.4,,5.5,,6.1,,5.2,,5.13,,5.4,
2000-05,5.5,,5.7,,5.7,,5.7,,5.7,,5.8,,6.4,,5.4,,5.35,,5.7,
2000-06,5.4,,5.6,,5.6,,5.6,,5.6,,5.8,,6.2,,5.2,,5.20,,5.6,
2000-07,5.5,,5.7,,5.7,,5.7,,5.7,,5.8,,6.3,,5.3,,5.31,,5.7,
2000-08,5.5,,5.7,,5.7,,5.7,,5.7,,5.8,,6.4,,5.3,,5.29,,5.7,
2000-09,5.6,,5.7,,5.8,,5.7,,5.7,,5.8,,6.4,,5.4,,5.32,,5.7,
2000-10,5.5,,5.7,,5.7,,5.6,,5.6,,5.8,,6.3,,5.3,,5.25,,5.6,
2000-11,5.4,,5.6,,5.6,,5.6,,5.6,,5.7,,6.2,,5.2,,5.20,,5.6,
2000-12,5.1,,5.3,,5.3,,5.2,,5.3,,5.4,,6.0,,5.0,,4.92,,5.3,
2001-01,4.9,,5.1,,5.1,,5.0,,5.1,,5.2,,5.8,,4.8,,4.77,,5.1,
2001-02,4.9,,5.0,,5.1,,5.0,,5.0,,5.2,,5.8,,4.8,,4.77,,5.1,
2001-03,4.8,,4.9,,5.0,,4.9,,4.9,,5.1,,5.8,,4.7,,4.67,,5.0,
2001-04,4.9,,5.0,,5.0,,5.0,,5.0,,5.1,,5.8,,4.8,,4.80,,5.1,
2001-05,5.1,,5.1,,5.2,,5.1,,5.1,,5.3,,5.9,,5.0,,4.98,,5.2,
2001-06,5.0,,5.1,,5.1,,5.0,,5.1,,5.2,,5.8,,4.9,,4.91,,5.1,
2001-07,5.0,,5.1,,5.1,,5.1,,5.1,,5.2,,5.8,,4.9,,4.89,,5.1,
2001-08,4.8,,4.9,,4.9,,4.8,,4.9,,5.0,,5.6,,4.7,,4.71,,4.9,
2001-09,4.7,,4.7,,4.8,,4.7,,4.7,,4.9,,5.6,,4.7,,4.63,,4.8,
2001-10,4.5,,4.5,,4.5,,4.4,,4.5,,4.7,,6.1,,4.4,,4.40,,4.6,
2001-11,4.3,,4.4,,4.4,,4.3,,4.4,,4.6,,6.1,,4.3,,4.29,,4.4,
2001-12,4.6,,4.7,,4.7,,4.6,,4.6,,4.9,,6.5,,4.6,,4.56,,4.7,
2002-01,4.8,,4.8,,4.8,,4.8,,4.8,,5.0,,6.4,,4.7,,4.69,,4.8,
2002-02,4.8,,4.9,,4.9,,4.9,,4.8,,5.1,,6.4,,4.8,,4.78,,4.9,
2002-03,5.1,,5.1,,5.2,,5.1,,5.0,,5.3,,5.9,,5.0,,5.04,,5.1,
2002-04,5.1,,5.1,,5.2,,5.1,,5.1,,5.3,,5.9,,5.0,,5.03,,5.1,
2002-05,5.1,,5.1,,5.2,,5.1,,5.1,,5.3,,5.9,,5.1,,5.06,,5.1,
2002-06,4.9,,5.0,,5.0,,5.0,,5.0,,5.2,,5.9,,4.9,,4.89,,5.0,
2002-07,4.8,,4.8,,4.9,,4.8,,4.8,,5.0,,5.8,,4.7,,4.69,,4.8,
2002-08,4.5,,4.5,,4.6,,4.5,,4.5,,4.8,,5.8,,4.4,,4.42,,4.5,
2002-09,4.2,,4.3,,4.3,,4.2,,4.2,,4.5,,5.9,,4.2,,4.19,,4.3,
2002-10,4.3,,4.3,,4.4,,4.3,,4.2,,4.7,,6.0,,4.2,,4.25,,4.3,
2002-11,4.2,,4.2,,4.3,,4.2,,4.2,,4.7,,6.1,,4.2,,4.22,,4.2,
2002-12,4.1,,4.1,,4.1,,4.0,,4.0,,4.5,,5.9,,4.1,,4.07,,4.1,
2003-01,3.9,,3.8,,3.9,,3.8,,3.8,,4.2,,5.7,,3.9,,3.88,,3.8,
2003-02,3.6,,3.6,,3.6,,3.5,,3.6,,4.0,,6.1,,3.7,,3.70,,3.6,
2003-03,3.7,,3.6,,3.7,,3.6,,3.6,,4.1,,6.5,,3.7,,3.76,,3.6,
2003-04,3.8,,3.8,,3.8,,3.7,,3.7,,4.3,,5.5,,3.9,,3.90,,3.7,
2003-05,3.5,,3.4,,3.5,,3.3,,3.3,,3.9,,4.9,,3.5,,3.57,,3.4,
2003-06,3.3,,3.2,,3.3,,3.1,,3.1,,3.6,,4.5,,3.3,,3.37,,3.1,
2003-07,3.6,,3.5,,3.5,,3.4,,3.4,,3.8,,4.5,,3.6,,3.65,,3.4,
2003-08,3.8,,3.8,,3.8,,3.7,,3.8,,4.1,,4.4,,3.9,,3.90,,3.7,
2003-09,3.8,,3.8,,3.8,,3.7,,3.8,,4.1,,4.5,,3.9,,3.91,,3.7,
2003-10,3.9,,3.8,,3.9,,3.8,,3.8,,4.1,,4.4,,3.9,,3.96,,3.8,
2003-11,4.0,,4.0,,4.0,,3.9,,4.0,,4.2,,4.4,,4.1,,4.08,,4.0,
2003-12,4.0,,3.9,,3.9,,3.8,,3.9,,4.2,,4.3,,4.0,,4.01,,3.9,
2004-01,3.8,,3.7,,3.7,,3.6,,3.7,,4.0,,4.1,,3.8,,3.85,,3.7,
2004-02,3.7,,3.6,,3.6,,3.6,,3.6,,3.9,,4.0,,3.8,,3.81,,3.7,
2004-03,3.5,,3.4,,3.4,,3.4,,3.4,,3.7,,3.8,,3.6,,3.61,,3.5,
2004-04,3.7,,3.6,,3.6,,3.6,,3.6,,3.8,,3.8,,3.8,,3.79,,3.6,
2004-05,3.9,,3.8,,3.7,,3.7,,3.8,,4.0,,4.0,,3.9,,3.94,,3.8,
2004-06,4.0,,3.9,,3.8,,3.8,,3.9,,4.1,,4.0,,4.0,,4.02,,3.9,
2004-07,3.9,,3.8,,3.7,,3.7,,3.8,,4.0,,3.9,,3.9,,3.93,,3.8,
2004-08,3.7,,3.6,,3.6,,3.5,,3.7,,3.8,,3.7,,3.8,,3.81,,3.7,
2004-09,3.7,,3.6,,3.6,,3.5,,3.6,,3.8,,4.5,,3.8,,3.77,,3.6,
2004-10,3.6,,3.4,,3.4,,3.4,,3.5,,3.7,,4.3,,3.6,,3.64,,3.5,
2004-11,3.4,,3.3,,3.3,,3.3,,3.4,,3.6,,4.0,,3.5,,3.52,,3.4,
2004-12,3.3,,3.2,,3.2,,3.1,,3.2,,3.5,,3.9,,3.3,,3.35,,3.2,
2005-01,3.3,,3.2,,3.2,,3.1,,3.2,,3.4,,3.9,,3.3,,3.33,,3.2,
2005-02,3.3,,3.2,,3.2,,3.1,,3.2,,3.4,,3.9,,3.3,,3.33,,3.2,
2005-03,3.4,,3.3,,3.3,,3.2,,3.3,,3.5,,4.1,,3.5,,3.47,,3.4,
2005-04,3.2,,3.1,,3.1,,3.1,,3.2,,3.4,,3.9,,3.3,,3.29,,3.2,
2005-05,3.1,,3.0,,3.0,,2.9,,3.0,,3.2,,3.8,,3.1,,3.12,,3.0,
2005-06,2.9,,2.8,,2.8,,2.7,,2.8,,3.1,,3.6,,2.9,,2.94,,2.9,
2005-07,2.9,,2.8,,2.8,,2.8,,2.9,,3.1,,3.5,,3.0,,3.01,,2.9,
2005-08,3.0,,2.9,,2.9,,2.8,,2.9,,3.1,,3.5,,3.0,,3.04,,2.9,
2005-09,2.9,,2.8,,2.8,,2.7,,2.8,,3.0,,3.3,,2.9,,2.91,,2.8,
2005-10,3.1,,3.0,,3.0,,3.0,,3.0,,3.2,,3.5,,3.1,,3.12,,3.0,
2005-11,3.3,,3.3,,3.3,,3.2,,3.2,,3.4,,3.7,,3.3,,3.33,,3.3,
2005-12,3.3,,3.2,,3.3,,3.2,,3.2,,3.4,,3.7,,3.3,,3.26,,3.2,
2006-01,3.3,,3.3,,3.3,,3.2,,3.2,,3.4,,3.7,,3.3,,3.26,,3.3,
2006-02,3.4,,3.4,,3.4,,3.4,,3.4,,3.5,,3.8,,3.4,,3.40,,3.4,
2006-03,3.6,,3.6,,3.6,,3.6,,3.6,,3.7,,4.0,,3.6,,3.58,,3.6,
2006-04,3.8,,3.9,,3.9,,3.8,,3.9,,3.9,,4.3,,3.8,,3.83,,3.8,
2006-05,3.9,,3.9,,3.9,,3.9,,3.9,,4.0,,4.3,,3.9,,3.88,,3.9,
2006-06,3.9,,3.9,,3.9,,3.9,,4.0,,4.0,,4.3,,3.9,,3.90,,3.9,
2006-07,4.0,,4.0,,4.0,,4.0,,4.0,,4.1,,4.4,,4.0,,3.96,,4.0,
2006-08,3.9,,3.9,,3.9,,3.9,,3.9,,4.0,,4.2,,3.9,,3.85,,3.9,
2006-09,3.8,,3.8,,3.8,,3.8,,3.8,,4.0,,4.1,,3.8,,3.75,,3.8,
2006-10,3.8,,3.9,,3.9,,3.9,,3.9,,4.0,,4.2,,3.8,,3.79,,3.9,
2006-11,3.8,,3.9,,3.9,,3.9,,3.8,,4.0,,4.2,,3.7,,3.87,,3.8,
2006-12,3.9,,3.9,,3.9,,3.9,,3.9,,4.0,,4.3,,3.8,,3.80,,3.9,
2007-01,4.1,,4.1,,4.1,,4.1,,4.1,,4.3,,4.5,,4.0,,4.03,,4.1,
2007-02,4.1,,4.2,,4.2,,4.2,,4.1,,4.3,,4.5,,4.1,,4.06,,4.1,
2007-03,4.0,,4.1,,4.1,,4.1,,4.1,,4.2,,4.4,,4.0,,3.97,,4.1,
2007-04,4.2,,4.3,,4.3,,4.3,,4.3,,4.4,,4.6,,4.2,,4.19,,4.3,
2007-05,4.4,,4.4,,4.4,,4.4,,4.4,,4.5,,4.7,,4.3,,4.32,,4.4,
2007-06,4.6,,4.7,,4.7,,4.7,,4.7,,4.8,,5.0,,4.6,,4.59,,4.6,
2007-07,4.6,,4.7,,4.7,,4.7,,4.7,,4.8,,5.5,,4.6,,4.55,,4.6,
2007-08,4.4,,4.6,,4.6,,4.5,,4.5,,4.7,,5.5,,4.3,,4.31,,4.5,
2007-09,4.3,,4.5,,4.5,,4.5,,4.4,,4.6,,5.6,,4.3,,4.24,,4.4,
2007-10,4.4,,4.5,,4.5,,4.5,,4.4,,4.7,,5.5,,4.3,,4.30,,4.4,
2007-11,4.2,,4.4,,4.4,,4.4,,4.3,,4.6,,5.3,,4.1,,4.11,,4.3,
2007-12,4.3,,4.5,,4.5,,4.5,,4.4,,4.7,,5.5,,4.3,,4.21,,4.4,
2008-01,4.1,,4.2,,4.2,,4.2,,4.2,,4.5,,5.5,,4.0,,4.00,,4.2,
2008-02,4.0,,4.1,,4.0,,4.0,,4.0,,4.4,,5.5,,3.9,,3.85,,4.1,
2008-03,3.9,,4.1,,4.0,,4.0,,4.1,,4.5,,5.5,,3.8,,3.77,,4.1,
2008-04,4.2,,4.4,,4.3,,4.3,,4.3,,4.7,,5.9,,4.1,,4.08,,4.3,
2008-05,4.4,,4.6,,4.5,,4.5,,4.5,,4.9,,5.9,,4.3,,4.26,,4.4,
2008-06,4.8,,5.1,,5.1,,5.0,,4.9,,5.4,,6.3,,4.7,,4.63,,4.9,
2008-07,4.8,,5.1,,5.1,,5.0,,4.9,,5.4,,6.4,,4.7,,4.59,,4.9,
2008-08,4.5,,4.7,,4.7,,4.7,,4.5,,5.1,,6.1,,4.3,,4.26,,4.6,
2008-09,4.4,,4.8,,4.8,,4.8,,4.5,,5.2,,6.4,,4.2,,4.16,,4.6,
2008-10,4.2,,4.8,,4.8,,4.8,,4.4,,5.5,,7.6,,3.9,,3.84,,4.4,
2008-11,3.7,,4.3,,4.2,,4.2,,4.1,,5.1,,7.2,,3.5,,3.41,,3.9,
2008-12,3.3,,4.0,,3.8,,3.9,,3.7,,4.8,,6.9,,3.1,,3.00,,3.6,
2009-01,3.3,,3.8,,3.7,,3.7,,3.5,,4.6,,6.5,,3.1,,2.97,,3.5,
2009-02,3.2,,3.8,,3.7,,3.8,,3.5,,4.5,,6.2,,3.0,,2.92,,3.5,
2009-03,3.2,,3.8,,3.6,,3.8,,3.5,,4.6,,6.5,,3.0,,2.89,,3.5,
2009-04,3.3,,3.8,,3.6,,3.8,,3.5,,4.7,,6.3,,3.1,,3.02,,3.5,
2009-05,3.3,,3.6,,3.4,,3.6,,3.4,,4.5,,6.2,,3.2,,3.15,,3.4,
2009-06,3.5,,3.8,,3.5,,3.6,,3.5,,4.6,,6.2,,3.3,,3.26,,3.6,
2009-07,3.3,,3.5,,3.2,,3.3,,3.3,,4.3,,5.2,,3.2,,3.13,,3.3,
2009-08,3.2,,3.4,,3.1,,3.2,,3.2,,4.1,,4.7,,3.1,,3.10,,3.2,
2009-09,3.1,,3.2,,2.9,,3.1,,3.1,,3.9,,4.8,,3.0,,3.02,,3.1,
2009-10,3.1,,3.2,,2.9,,3.0,,3.1,,3.8,,4.7,,3.0,,3.02,,3.0,
2009-11,3.1,,3.2,,2.9,,3.0,,3.1,,3.7,,4.4,,3.0,,2.99,,3.0,
2009-12,3.0,,3.0,,2.8,,2.9,,3.0,,3.5,,4.8,,2.9,,2.90,,2.9,
2010-01,3.0,,3.1,,2.8,,3.0,,3.0,,3.5,,4.4,,3.0,,2.99,,2.9,
2010-02,2.9,,3.0,,2.7,,2.9,,2.9,,3.4,,4.4,,2.8,,2.84,,2.8,
2010-03,2.8,,2.9,,2.6,,2.8,,2.8,,3.3,,4.2,,2.8,,2.76,,2.7,
2010-04,2.8,,2.8,,2.6,,2.7,,2.7,,3.2,,4.3,,2.7,,2.73,,2.6,
2010-05,2.5,,2.6,,2.5,,2.5,,2.5,,3.0,,4.3,,2.4,,2.37,,2.4,
2010-06,2.3,,2.5,,2.3,,2.4,,2.4,,3.0,,4.4,,2.2,,2.18,,2.3,
2010-07,2.4,,2.5,,2.3,,2.4,,2.4,,3.0,,4.1,,2.3,,2.28,,2.3,
2010-08,2.2,,2.3,,2.2,,2.2,,2.2,,2.9,,3.8,,2.1,,2.06,,2.1,
2010-09,2.1,,2.3,,2.1,,2.2,,2.1,,2.8,,3.7,,2.0,,2.02,,2.1,
2010-10,2.2,,2.4,,2.2,,2.3,,2.3,,2.9,,3.5,,2.1,,2.12,,2.1,
2010-11,2.4,,2.6,,2.4,,2.5,,2.5,,3.0,,3.6,,2.3,,2.26,,2.3,
2010-12,2.6,,2.9,,2.7,,2.8,,2.8,,3.4,,3.8,,2.5,,2.54,,2.6,
2011-01,2.8,,3.0,,2.8,,2.9,,2.9,,3.5,,3.9,,2.7,,2.69,,2.7,
2011-02,3.0,,3.2,,3.0,,3.2,,3.1,,3.7,,4.0,,2.9,,2.90,,2.9,
2011-03,3.1,,3.3,,3.1,,3.3,,3.2,,3.8,,4.0,,3.0,,2.96,,3.0,
2011-04,3.2,,3.5,,3.3,,3.4,,3.4,,3.9,,4.1,,3.1,,3.14,,3.2,
2011-05,3.0,,3.3,,3.1,,3.2,,3.1,,3.7,,4.2,,2.9,,2.90,,3.0,
2011-06,2.8,,3.1,,2.9,,3.1,,2.9,,3.6,,4.2,,2.7,,2.71,,2.9,
2011-07,2.7,,3.1,,2.9,,3.0,,2.9,,3.6,,4.2,,2.6,,2.57,,2.8,
2011-08,2.3,,2.6,,2.5,,2.6,,2.4,,3.3,,4.4,,2.1,,2.04,,2.4,
2011-09,1.9,,2.4,,2.3,,2.4,,2.1,,3.2,,4.6,,1.7,,1.66,,2.2,
2011-10,2.0,,2.5,,2.4,,2.5,,2.2,,3.4,,4.6,,1.9,,1.82,,2.2,
2011-11,1.9,,2.4,,2.3,,2.4,,2.1,,3.4,,4.4,,1.7,,1.66,,2.2,
2011-12,1.9,,2.4,,2.3,,2.3,,2.1,,3.3,,4.6,,1.7,,1.63,,2.1,
2012-01,1.7,,2.2,,2.1,,2.1,,1.9,,3.0,,4.3,,1.6,,1.52,,1.9,
2012-02,1.7,,2.0,,1.9,,2.0,,1.8,,2.8,,4.0,,1.6,,1.56,,1.9,
2012-03,1.7,,2.0,,1.8,,1.9,,1.7,,2.7,,4.0,,1.6,,1.55,,1.8,
2012-04,1.6,,1.9,,1.7,,1.9,,1.7,,2.6,,3.9,,1.5,,1.42,,1.7,
2012-05,1.4,,1.7,,1.5,,1.7,,1.4,,2.5,,3.8,,1.2,,1.19,,1.6,
2012-06,1.3,,1.6,,1.5,,1.6,,1.3,,2.5,,3.5,,1.2,,1.16,,1.5,
2012-07,1.2,,1.4,,1.3,,1.4,,1.2,,2.3,,3.0,,1.1,,1.08,,1.3,
2012-08,1.2,,1.3,,1.2,,1.3,,1.1,,2.2,,3.6,,1.1,,1.13,,1.2,
2012-09,1.3,,1.3,,1.1,,1.3,,1.1,,2.1,,3.9,,1.2,,1.22,,1.2,
2012-10,1.3,,1.3,,1.1,,1.2,,1.1,,2.0,,3.8,,1.2,,1.23,,1.2,
2012-11,1.1,,1.2,,1.0,,1.1,,1.0,,1.8,,3.6,,1.1,,1.11,,1.1,
2012-12,1.1,,1.1,,1.0,,1.0,,0.9,,1.7,,3.3,,1.1,,1.07,,1.0,
2013-01,1.3,,1.2,,1.1,,1.1,,1.0,,1.8,,3.4,,1.3,,1.27,,1.2,
2013-02,1.3,,1.3,,1.2,,1.2,,1.1,,1.9,,3.3,,1.3,,1.30,,1.2,
2013-03,1.2,,1.1,,1.1,,1.0,,0.9,,1.8,,3.1,,1.1,,1.12,,1.1,
