"",BBK01.SUD021,BBK01.SUD021_FLAGS,BBK01.SUD022,BBK01.SUD022_FLAGS,BBK01.SUD023,BBK01.SUD023_FLAGS,BBK01.SUD024,BBK01.SUD024_FLAGS,BBK01.SUD026,BBK01.SUD026_FLAGS,BBK01.SUD027,BBK01.SUD027_FLAGS,BBK01.SUD028,BBK01.SUD028_FLAGS,BBK01.SUD029,BBK01.SUD029_FLAGS,BBK01.SUD030,BBK01.SUD030_FLAGS,BBK01.SUD031,BBK01.SUD031_FLAGS,BBK01.SUD032,BBK01.SUD032_FLAGS,BBK01.SUD033,BBK01.SUD033_FLAGS,BBK01.SUD034,BBK01.SUD034_FLAGS,BBK01.SUD201,BBK01.SUD201_FLAGS,BBK01.SUD202,BBK01.SUD202_FLAGS,BBK01.SUD203,BBK01.SUD203_FLAGS,BBK01.SUD204,BBK01.SUD204_FLAGS,BBK01.SUD205,BBK01.SUD205_FLAGS,BBK01.SUD206,BBK01.SUD206_FLAGS,BBK01.SUD207,BBK01.SUD207_FLAGS,BBK01.SUD208,BBK01.SUD208_FLAGS,BBK01.SUD209,BBK01.SUD209_FLAGS,BBK01.SUD210,BBK01.SUD210_FLAGS,BBK01.SUD212,BBK01.SUD212_FLAGS,BBK01.SUD213,BBK01.SUD213_FLAGS,BBK01.SUD214,BBK01.SUD214_FLAGS,BBK01.SUD215,BBK01.SUD215_FLAGS,BBK01.SUD216,BBK01.SUD216_FLAGS,BBK01.SUD217,BBK01.SUD217_FLAGS,BBK01.SUD218,BBK01.SUD218_FLAGS,BBK01.SUD219,BBK01.SUD219_FLAGS,BBK01.SUD220,BBK01.SUD220_FLAGS,BBK01.SUD221,BBK01.SUD221_FLAGS,BBK01.SUD222,BBK01.SUD222_FLAGS,BBK01.SUD223,BBK01.SUD223_FLAGS,BBK01.SUD224,BBK01.SUD224_FLAGS,BBK01.SUD225,BBK01.SUD225_FLAGS,BBK01.SUD226,BBK01.SUD226_FLAGS,BBK01.SUD227,BBK01.SUD227_FLAGS,BBK01.SUD228,BBK01.SUD228_FLAGS,BBK01.SUD229,BBK01.SUD229_FLAGS
2013-10,97939,,223989,,80517,,20505,,5786,,29061,,976282,,59053,,77656,,308891,,132962,,124612,,581133,,915399,,8639,,998,,1454,,527870,,78030,,321180,,19512,,409,,356,,38011,,562,,2871,,3281,,3064,,2261,,6788,,4684,,4930,,1039,,2018,,66316,,8135,,985,,1107,,44059,,3096,,4812,
2013-11,97422,,224581,,79894,,20486,,5644,,29027,,979253,,56483,,77800,,309729,,133346,,124895,,584312,,935789,,8365,,963,,1784,,527862,,77998,,322015,,18152,,518,,260,,36099,,437,,2585,,2675,,2208,,1853,,5493,,4535,,3637,,819,,1923,,66944,,6790,,887,,996,,33974,,1139,,4962,
2013-12,96913,,226745,,81898,,20531,,5683,,28778,,978740,,59488,,77624,,307844,,131319,,124094,,585809,,931980,,8690,,601,,1465,,532012,,77698,,328291,,24666,,393,,497,,38335,,566,,2380,,2005,,2673,,2027,,6066,,4183,,4780,,1086,,2587,,66572,,7671,,1041,,1267,,46182,,3524,,8670,
2014-01,95966,,227207,,83425,,20595,,5704,,28563,,977215,,57235,,77651,,308100,,129373,,124931,,585957,,937354,,10149,,709,,1843,,531516,,77239,,320229,,26693,,449,,648,,37050,,575,,2880,,3399,,3235,,2395,,6530,,4316,,4681,,1046,,2129,,65106,,7656,,1005,,1098,,41103,,1655,,4707,
2014-02,95572,,227617,,86581,,20561,,5602,,28337,,979347,,56749,,77550,,308406,,131524,,125835,,586261,,945510,,8689,,947,,1579,,531906,,77471,,315847,,22924,,405,,327,,36571,,450,,2688,,3036,,2728,,1967,,5390,,4534,,3706,,882,,2040,,66281,,6758,,751,,883,,31286,,1429,,3747,
2014-03,95257,,227604,,85751,,20226,,5707,,28267,,980208,,58723,,77679,,307181,,133290,,126844,,582771,,942554,,8930,,715,,1520,,530731,,77451,,313232,,23444,,620,,420,,38706,,540,,3126,,3500,,2579,,2158,,6224,,5143,,4298,,1029,,2358,,68379,,8168,,1066,,1074,,35944,,1374,,4738,
2014-04,94627,,226848,,86699,,19598,,5744,,28198,,981947,,57688,,76672,,309107,,132664,,130113,,583996,,953725,,9109,,681,,1520,,529024,,77285,,315372,,27801,,635,,295,,37048,,400,,3027,,3785,,2813,,2459,,7011,,5318,,4618,,1043,,2328,,66493,,7919,,1089,,1071,,43977,,1994,,4631,
2014-05,94570,,226619,,87856,,19903,,5764,,28197,,984889,,56479,,75911,,309887,,133191,,130069,,586337,,964096,,8718,,674,,1662,,528416,,77128,,318469,,27331,,420,,531,,36563,,329,,2944,,3993,,2361,,2128,,6252,,5002,,3809,,937,,2086,,65901,,7039,,913,,1030,,34227,,1566,,3800,
2014-06,95671,,226527,,84165,,19989,,5762,,28112,,986700,,59098,,76099,,308827,,138116,,129524,,582780,,963948,,9355,,704,,1569,,528104,,76049,,314270,,22920,,472,,893,,38374,,344,,2867,,3668,,2572,,1980,,6219,,4803,,3687,,922,,2146,,69358,,7766,,923,,1041,,40152,,2439,,5556,
2014-07,95197,,225989,,85704,,19674,,5812,,28148,,989997,,56579,,76766,,309761,,133446,,129959,,583339,,972397,,9984,,778,,1583,,527278,,76712,,320536,,18623,,371,,511,,36390,,389,,3184,,4089,,3029,,2488,,7704,,5800,,4672,,1167,,2513,,65707,,8177,,1417,,1272,,46449,,2271,,5518,
2014-08,94384,,225881,,86373,,19536,,5667,,28220,,994510,,55731,,77128,,309772,,131893,,130271,,585897,,982182,,8010,,734,,1289,,527851,,77648,,326545,,14610,,191,,319,,35283,,349,,2709,,3322,,2427,,1907,,6205,,5319,,3298,,742,,1940,,65562,,6155,,1125,,1081,,32347,,1894,,4269,
2014-09,93703,,225992,,83870,,19601,,5630,,28295,,997116,,58107,,77166,,308303,,132902,,129887,,584473,,976579,,8576,,704,,1266,,527990,,78170,,336903,,13164,,312,,401,,37656,,366,,2833,,3409,,2214,,1945,,6630,,5669,,4484,,830,,2410,,66287,,7508,,1240,,1129,,42008,,1720,,5907,
2014-10,92778,,225657,,83587,,19663,,5766,,28278,,1000934,,56716,,77707,,308423,,130017,,131515,,586281,,990310,,8687,,657,,1134,,527680,,77990,,345504,,13179,,972,,435,,36051,,369,,3055,,3728,,2681,,2077,,7208,,5972,,4560,,963,,2235,,62600,,8157,,1363,,1186,,44153,,3154,,6536,
2014-11,92016,,225585,,83312,,19554,,5631,,28396,,1004378,,54676,,77140,,308879,,132058,,131532,,588938,,1013535,,8021,,719,,1173,,527234,,77625,,343396,,12414,,1973,,595,,34390,,331,,2581,,3145,,2253,,1979,,6201,,5687,,3202,,796,,2063,,64185,,6787,,1115,,1073,,32338,,1669,,5271,
2014-12,92021,,227138,,80954,,19152,,5083,,28211,,1013753,,53792,,76777,,303896,,128258,,126520,,577515,,1007229,,9654,,749,,1266,,530260,,76202,,344692,,16156,,781,,931,,36194,,383,,2448,,2540,,2762,,2015,,7445,,6278,,4820,,1162,,2835,,62988,,7808,,1630,,1648,,48092,,3080,,10595,
2015-01,89436,,226464,,79358,,18930,,5160,,28086,,1012824,,52558,,76497,,303191,,128746,,126730,,578913,,1017766,,8558,,856,,1305,,528544,,77361,,337454,,13140,,398,,654,,35380,,358,,2774,,3900,,2606,,2006,,6927,,8230,,4042,,1027,,2213,,63497,,7524,,1283,,3073,,45278,,2366,,7137,
2015-02,89570,,226183,,79398,,18974,,5016,,27984,,1014974,,52185,,76003,,303712,,131264,,125646,,581525,,1030249,,7278,,886,,1131,,529378,,76071,,333734,,12552,,437,,584,,34873,,301,,2808,,4166,,2199,,1753,,6492,,6604,,3259,,797,,1963,,66045,,6474,,1123,,1159,,37674,,1526,,5162,
2015-03,89298,,225561,,78982,,19063,,5088,,27865,,1016146,,54520,,76275,,303397,,131147,,124522,,581063,,1027392,,8124,,771,,1049,,528471,,74766,,337419,,15096,,775,,863,,36566,,370,,3556,,4809,,2760,,2118,,7693,,8563,,4242,,1121,,3019,,66233,,8150,,1516,,1510,,41003,,2066,,8446,
2015-04,88530,,224767,,79019,,18947,,5047,,27831,,1019037,,53269,,77052,,304183,,128616,,123502,,582249,,1043564,,7663,,653,,952,,528261,,72608,,343035,,15562,,612,,660,,35136,,326,,3104,,4739,,2640,,1935,,7330,,8581,,3917,,934,,2311,,64316,,7621,,1359,,1344,,40212,,1671,,5586,
2015-05,86761,,224571,,77340,,19282,,5034,,27819,,1022953,,52454,,77293,,305495,,129566,,124745,,584693,,1058904,,5630,,657,,884,,528271,,71013,,342155,,10161,,1010,,634,,34577,,304,,2839,,4203,,2315,,1754,,7123,,8357,,3364,,815,,2340,,65334,,6817,,1277,,1334,,33591,,1496,,6368,
2015-06,84531,,224254,,74338,,19325,,5037,,27833,,1026258,,54172,,77509,,304642,,133378,,123853,,584590,,1062893,,6524,,703,,880,,527934,,69686,,342151,,10205,,484,,512,,36409,,327,,3211,,4468,,2798,,2197,,9297,,9723,,4215,,998,,3167,,67919,,8097,,1487,,1733,,43785,,2647,,10835,
2015-07,82865,,221848,,76685,,17642,,5202,,27839,,1031485,,52365,,77744,,306095,,129374,,122547,,589479,,1073284,,6953,,656,,866,,527609,,68185,,351672,,10002,,565,,1243,,34649,,361,,3554,,5044,,2915,,2502,,10095,,9798,,4272,,1149,,3299,,63998,,8543,,1586,,1791,,45314,,2211,,9750,
2015-08,81011,,221355,,77081,,17717,,5133,,27884,,1035464,,52298,,78153,,307021,,129297,,123567,,591261,,1079170,,5546,,636,,879,,527949,,66653,,354182,,8622,,312,,305,,34639,,309,,3020,,3984,,2290,,1939,,7566,,7950,,3121,,909,,2455,,64693,,6644,,1260,,1321,,33589,,1497,,5329,
2015-09,79461,,221031,,75281,,17611,,5034,,27893,,1040092,,53598,,78360,,306359,,131656,,122856,,589109,,1079060,,6158,,668,,971,,528705,,65229,,357208,,8732,,723,,351,,35907,,338,,3052,,3941,,2344,,1851,,7276,,7690,,3289,,838,,2321,,65322,,8061,,1323,,1333,,39892,,1704,,8027,
2015-10,78623,,220371,,74750,,17702,,5064,,27890,,1044772,,51827,,79082,,307165,,129480,,123960,,591797,,1089962,,5760,,793,,1088,,529980,,63966,,373013,,10805,,798,,528,,34203,,309,,3104,,3820,,2577,,2125,,7230,,7942,,3823,,966,,2491,,62664,,8271,,1452,,1254,,37386,,2319,,7099,
2015-11,77788,,219914,,76639,,17194,,5040,,27842,,1048108,,51852,,78963,,307080,,127638,,125519,,599010,,1107307,,5900,,840,,1196,,530810,,62774,,377900,,10676,,574,,326,,33577,,276,,2993,,3388,,2190,,1874,,7319,,7043,,3295,,872,,2394,,64959,,7599,,1381,,1254,,32330,,2249,,7027,
2015-12,77515,,221625,,79591,,17364,,4930,,27694,,1050742,,52810,,79095,,305794,,124823,,125885,,597480,,1111065,,6140,,1161,,1379,,533865,,61900,,375456,,14914,,1338,,872,,34544,,316,,2867,,2884,,2713,,2045,,7385,,7378,,4005,,1136,,3203,,61270,,8367,,1688,,1765,,46829,,3286,,9835,
2016-01,76746,,221432,,79489,,17335,,4918,,27439,,1050822,,51090,,79458,,306625,,129712,,125827,,600420,,1117856,,7184,,1024,,1360,,534775,,60627,,370533,,9780,,1283,,489,,33630,,309,,2938,,4091,,2413,,2054,,6800,,7240,,3753,,1054,,2445,,65010,,7835,,1331,,1328,,38673,,2309,,5322,
2016-02,75932,,221154,,80142,,17271,,4928,,27365,,1052648,,51489,,80004,,307081,,133400,,127226,,603071,,1123332,,6226,,914,,1493,,536409,,59334,,369125,,10334,,890,,244,,34005,,322,,3260,,4280,,2584,,1994,,6837,,7363,,3388,,904,,2377,,66930,,7805,,1310,,1160,,34426,,2142,,5922,
2016-03,76809,,221229,,82706,,17573,,4930,,27373,,1055393,,52603,,80322,,306601,,136519,,126968,,601728,,1120146,,6804,,1137,,1721,,535575,,58239,,369344,,14907,,931,,1057,,35211,,341,,3577,,4497,,2618,,2256,,8246,,9276,,3549,,996,,2710,,68394,,8680,,1524,,1394,,41099,,2294,,7722,
2016-04,77166,,220954,,83708,,17490,,4846,,27217,,1059886,,50381,,81026,,307891,,135359,,128690,,605208,,1140220,,5852,,994,,1130,,534792,,57125,,377546,,10820,,851,,439,,33142,,310,,3548,,4876,,2206,,1820,,6054,,7779,,3375,,981,,2025,,66461,,8290,,1645,,1410,,38162,,1933,,6149,
2016-05,77295,,220985,,80922,,18025,,4879,,27188,,1062641,,51077,,81430,,308513,,135510,,129515,,610090,,1142947,,5430,,747,,901,,534122,,56154,,380942,,9700,,694,,1123,,33466,,306,,3329,,4609,,2133,,1698,,6635,,7502,,2921,,876,,2101,,66974,,7987,,1363,,1338,,34259,,1651,,6572,
2016-06,77303,,220707,,78910,,18063,,4789,,27274,,1067240,,52027,,81906,,308188,,134699,,130133,,609028,,1149604,,6027,,759,,935,,533649,,55415,,376365,,10619,,689,,858,,34494,,314,,3616,,5010,,2567,,1931,,7424,,9487,,3200,,1134,,2486,,67430,,8992,,1600,,1526,,43829,,2249,,8354,
2016-07,77112,,219660,,80553,,18143,,4765,,27235,,1072582,,49918,,82489,,309576,,131673,,129786,,613296,,1168427,,5846,,856,,903,,533501,,54560,,378718,,9596,,569,,476,,32504,,298,,3405,,4765,,2464,,1866,,7230,,8727,,3394,,936,,2488,,65180,,8339,,1484,,1554,,41120,,2329,,7758,
2016-08,75607,,219332,,79332,,18124,,4706,,27200,,1076855,,50083,,82851,,310095,,127687,,130730,,618420,,1171644,,5081,,1148,,961,,533503,,53749,,388519,,9727,,451,,286,,32811,,328,,3402,,4571,,2185,,1745,,7197,,8776,,2699,,793,,2457,,63322,,7384,,1340,,1416,,33033,,2112,,8730,
2016-09,75235,,219354,,83015,,18371,,4576,,27196,,1081912,,51549,,82974,,309690,,130085,,130827,,618717,,1173762,,5240,,671,,885,,532980,,53031,,389701,,15158,,598,,792,,33900,,296,,3257,,4249,,2062,,1658,,6555,,8361,,3266,,807,,2389,,65773,,8312,,1431,,1312,,41393,,1986,,7736,
2016-10,75245,,218836,,80349,,18507,,4640,,27070,,1085745,,50710,,83263,,310095,,130169,,131018,,621039,,1184012,,6402,,716,,933,,533209,,52223,,399216,,10736,,577,,521,,32988,,300,,3127,,4152,,2093,,1584,,6317,,7919,,3408,,928,,2109,,63931,,8219,,1417,,1258,,40159,,1960,,6409,
2016-11,74620,,218016,,82888,,19037,,4471,,27006,,1089931,,49611,,83538,,310615,,129705,,132276,,626371,,1208967,,5075,,523,,907,,533406,,51649,,400064,,13017,,951,,1490,,31782,,316,,3312,,3967,,2611,,1614,,7008,,8990,,3051,,837,,2417,,63786,,8095,,1497,,1361,,36792,,2628,,8487,
2016-12,74227,,220035,,81192,,19097,,4319,,26779,,1092883,,50069,,83529,,309174,,124451,,132491,,629290,,1220413,,5583,,621,,967,,536031,,51299,,401493,,15159,,1205,,538,,32351,,320,,3026,,3206,,2347,,1800,,8054,,9199,,3262,,1085,,3427,,61357,,8638,,1829,,1881,,48315,,3444,,14878,
2017-01,73435,,219585,,82672,,19293,,4407,,26401,,1093203,,49738,,83556,,309932,,129099,,133125,,633662,,1222852,,6002,,715,,999,,536834,,50563,,400475,,11356,,754,,314,,32190,,330,,3242,,5031,,2283,,1780,,7454,,8287,,3024,,915,,2759,,63925,,8119,,1328,,1423,,43339,,2830,,7780,
2017-02,73708,,219045,,83514,,19144,,4256,,26274,,1095552,,49472,,83530,,310467,,130095,,132565,,637765,,1233193,,4688,,617,,773,,537566,,49971,,397363,,10802,,631,,336,,31953,,273,,3094,,4820,,1784,,1567,,6556,,7931,,2540,,803,,2141,,65431,,7309,,1326,,1209,,37140,,2001,,7973,
2017-03,73460,,218575,,84520,,19649,,4286,,26208,,1099530,,50294,,83834,,310342,,130479,,133300,,638362,,1233631,,4918,,676,,820,,536136,,49493,,395640,,12614,,450,,309,,32949,,341,,4041,,5467,,2428,,1932,,7609,,10227,,3237,,1032,,2828,,65698,,9245,,1733,,1665,,45163,,2977,,10747,
2017-04,72221,,218122,,82082,,20074,,4241,,26175,,1104580,,49177,,84077,,309887,,130949,,133720,,642920,,1253497,,4926,,729,,741,,536260,,49013,,397203,,9275,,899,,1039,,31353,,287,,3415,,4520,,2001,,1672,,6456,,7958,,2826,,853,,2351,,64865,,7699,,1493,,1371,,38649,,2188,,5923,
2017-05,71503,,217847,,82646,,20471,,4304,,26188,,1108805,,49165,,84813,,311334,,131174,,134474,,649087,,1258521,,4724,,719,,726,,536046,,48646,,401652,,10212,,912,,837,,31647,,337,,3846,,5189,,2288,,1731,,7308,,9157,,2535,,941,,2414,,65067,,8000,,1661,,1423,,41638,,3072,,9383,
2017-06,69952,,217154,,80018,,20770,,4200,,26206,,1115307,,50307,,85111,,310769,,132255,,134974,,645396,,1264791,,4078,,947,,633,,535416,,48253,,415078,,14661,,525,,586,,32739,,308,,3574,,4801,,2265,,1541,,6573,,8915,,2722,,859,,2352,,66992,,8904,,1681,,1442,,46903,,3655,,9365,
2017-07,69365,,216115,,78396,,21529,,4076,,26017,,1120699,,49247,,85513,,311617,,131691,,135710,,650498,,1271823,,5276,,653,,617,,537553,,44902,,402113,,11516,,859,,1382,,31374,,299,,3561,,5080,,2389,,1726,,7420,,8870,,2873,,964,,2551,,65695,,8497,,1583,,1403,,43495,,3021,,9431,
2017-08,69014,,215909,,78517,,22146,,4035,,25937,,1125823,,48525,,85972,,313025,,130333,,136527,,654312,,1278289,,5198,,492,,716,,537173,,44119,,409698,,9710,,185,,666,,30914,,312,,3703,,4812,,2340,,1888,,7199,,8801,,2171,,814,,2682,,65718,,7401,,1441,,1335,,37547,,2627,,8695,
2017-09,67904,,215817,,77405,,22356,,3934,,25996,,1131500,,49521,,86239,,312467,,135493,,135872,,654806,,1285601,,3992,,598,,636,,537108,,43509,,414461,,10040,,351,,704,,31635,,305,,3579,,4328,,2025,,1571,,5950,,7817,,2341,,804,,2130,,67559,,8124,,1446,,1236,,43731,,2419,,9226,
2017-10,67393,,215503,,76092,,23093,,4208,,25925,,1135284,,48762,,86683,,312869,,136523,,136647,,657911,,1294797,,3750,,800,,696,,537700,,42721,,425806,,9134,,412,,1456,,31101,,302,,3758,,4278,,2134,,1634,,6611,,7749,,2646,,854,,2182,,67162,,8209,,1490,,1214,,45005,,2354,,8407,
2017-11,66679,,215034,,77669,,24421,,3898,,25924,,1139714,,48352,,87393,,312973,,137523,,138041,,664018,,1314663,,4022,,696,,747,,537935,,42074,,428784,,9337,,897,,1237,,30489,,306,,3827,,4083,,2170,,1640,,6550,,8433,,2471,,873,,2243,,67457,,8257,,1582,,1423,,41581,,2565,,7702,
2017-12,66585,,216841,,78428,,25136,,3851,,25850,,1143333,,48885,,87210,,311861,,133105,,137708,,664374,,1322096,,4043,,880,,627,,540332,,41475,,425477,,13102,,351,,1477,,31187,,297,,3315,,3089,,2150,,1553,,6084,,7686,,2705,,958,,2530,,65625,,8207,,1862,,1628,,49208,,5166,,12430,
2018-01,66589,,216681,,78112,,26055,,3906,,25566,,1144088,,48461,,87632,,312287,,141326,,138344,,668281,,1319368,,4348,,866,,780,,539145,,42193,,429587,,11368,,520,,1271,,31128,,328,,3860,,5100,,2354,,1798,,6864,,8627,,2693,,888,,2436,,68418,,8321,,1607,,1361,,50613,,2238,,5524,
2018-02,65984,,216585,,75362,,26887,,3869,,25474,,1147522,,48468,,87842,,312671,,142819,,138735,,672403,,1328779,,4181,,652,,737,,539604,,41465,,419428,,8751,,186,,932,,31380,,258,,3497,,4560,,2090,,1624,,6400,,8725,,2161,,753,,2148,,70488,,7501,,1390,,1123,,36050,,1794,,5973,
2018-03,65081,,216572,,72699,,26676,,3983,,25497,,1153724,,49131,,88481,,311587,,145640,,139810,,672250,,1334702,,3995,,470,,765,,539077,,41021,,418683,,10133,,347,,427,,31844,,287,,4259,,4999,,2256,,1773,,7047,,9516,,2440,,950,,2493,,71381,,8966,,1744,,1470,,44944,,3379,,8599,
2018-04,64883,,216237,,69677,,26913,,3933,,25480,,1157212,,48590,,89131,,312321,,145705,,140823,,675236,,1347466,,4240,,552,,712,,538787,,40559,,430412,,8954,,314,,815,,31176,,290,,3912,,5211,,2369,,1895,,7418,,9669,,2612,,1008,,2375,,72100,,8704,,1749,,1527,,43667,,2828,,7389,
2018-05,64743,,216238,,68665,,26848,,4024,,25609,,1162731,,48209,,84759,,312220,,149325,,138956,,678530,,1360605,,4235,,446,,587,,538616,,40277,,440268,,9576,,490,,587,,30991,,292,,3737,,4973,,2193,,1735,,6847,,8739,,2165,,737,,2355,,70690,,9732,,1395,,1290,,51023,,2988,,6530,
2018-06,64554,,216143,,68825,,26966,,4139,,25721,,1169692,,48827,,85404,,311756,,149189,,140052,,680131,,1370363,,4294,,597,,737,,538165,,39811,,424633,,11185,,240,,447,,31627,,279,,3737,,5036,,3226,,1882,,6771,,9585,,2607,,903,,2860,,74136,,11612,,1531,,1470,,55948,,3981,,9841,
2018-07,64623,,215907,,67013,,26859,,4217,,25586,,1174210,,48360,,85994,,312593,,148897,,142697,,684893,,1375299,,5005,,626,,693,,537703,,39331,,429934,,11466,,354,,754,,31035,,312,,3715,,5516,,2675,,1994,,7666,,9842,,2532,,910,,2938,,72921,,10235,,1466,,1578,,55149,,3956,,9325,
2018-08,64215,,216126,,67659,,27206,,4215,,25643,,1180809,,48053,,86634,,313801,,148026,,144021,,688709,,1383683,,5135,,516,,677,,537459,,38903,,436893,,10147,,303,,723,,30862,,395,,3702,,5145,,2337,,1753,,6974,,9429,,2124,,756,,2485,,72415,,9274,,1316,,1311,,44950,,2130,,7091,
2018-09,63849,,216273,,66871,,27188,,4306,,26196,,1186420,,49160,,86205,,313297,,150891,,144942,,691969,,1391356,,4831,,476,,645,,537477,,38579,,433078,,9835,,347,,375,,31781,,372,,3239,,4555,,1973,,1544,,5923,,8424,,2265,,634,,2053,,75723,,9668,,1315,,1180,,53010,,3023,,8252,
2018-10,63652,,215766,,66681,,27535,,4311,,26171,,1191048,,50033,,85254,,313604,,147714,,147743,,696222,,1399998,,4853,,772,,803,,537728,,38051,,445427,,12291,,518,,891,,31353,,421,,3527,,4967,,2443,,1884,,7669,,9279,,2413,,810,,2326,,73892,,10699,,1580,,1403,,52918,,3158,,8327,
2018-11,62369,,215502,,68118,,28176,,4299,,26265,,1196579,,49658,,85715,,314344,,148399,,151603,,702286,,1425632,,4599,,752,,752,,538222,,37420,,448301,,12192,,376,,1035,,31901,,489,,3599,,4580,,2313,,1779,,6738,,9527,,2263,,720,,2411,,73881,,9884,,1578,,1400,,50045,,3422,,8515,
2018-12,63057,,217570,,68323,,28597,,4242,,26203,,1199525,,51196,,85387,,312896,,146721,,150727,,703722,,1432861,,5439,,642,,702,,540271,,37155,,445954,,15012,,308,,1109,,32782,,518,,2820,,3176,,2113,,1519,,6088,,7910,,2554,,717,,2506,,73380,,10205,,1480,,1434,,62907,,5156,,15343,
2019-01,62837,,217168,,68701,,28839,,4379,,25867,,1200982,,49709,,85499,,314143,,151176,,152824,,707410,,1432335,,6375,,603,,1074,,540608,,36693,,443971,,16527,,549,,545,,32586,,544,,3696,,5745,,2475,,1962,,7080,,9390,,2541,,860,,2488,,75622,,10992,,1491,,1376,,50703,,2676,,7328,
2019-02,62576,,217250,,69389,,28815,,4300,,25861,,1204756,,49608,,85678,,314960,,154912,,154061,,712194,,1446689,,5693,,619,,1032,,541529,,36726,,439934,,15774,,277,,238,,32324,,486,,3556,,5312,,2163,,1749,,6344,,9095,,2095,,661,,1951,,77717,,9918,,1338,,1136,,43885,,3016,,6349,
2019-03,62652,,217159,,67395,,29229,,4424,,25905,,1210350,,49935,,86453,,314929,,159432,,155413,,713389,,1451707,,5595,,837,,978,,543711,,37036,,443524,,15807,,389,,299,,32533,,528,,3929,,5411,,2413,,1755,,6884,,10283,,2497,,772,,2329,,80447,,11060,,1534,,1391,,52989,,2834,,7740,
2019-04,62253,,216952,,67114,,28899,,4418,,25875,,1218785,,50058,,86872,,313007,,157460,,159372,,716684,,1464110,,5357,,485,,868,,543806,,37197,,451668,,14136,,374,,278,,31833,,504,,3762,,5564,,2570,,2074,,7760,,10701,,2214,,815,,2655,,78390,,10283,,1606,,1464,,55315,,3354,,9686,
2019-05,60966,,217558,,66325,,28799,,4534,,26212,,1224628,,49275,,87410,,314341,,159767,,162699,,722437,,1477188,,4250,,665,,737,,543432,,37857,,460120,,12080,,641,,311,,31720,,428,,3770,,5695,,2560,,2030,,7324,,10715,,2312,,813,,2134,,78496,,9981,,1587,,1374,,51534,,3207,,7824,
2019-06,60652,,217383,,63711,,28547,,4575,,26445,,1230368,,51281,,87504,,314057,,167044,,164225,,722521,,1487229,,3429,,330,,713,,543047,,38409,,448314,,10189,,421,,190,,32848,,425,,3222,,4698,,2280,,1695,,6429,,9760,,2120,,731,,2247,,84230,,10633,,1407,,1312,,58540,,3408,,9077,
2019-07,60326,,217260,,63826,,27984,,4643,,26544,,1236461,,50115,,86724,,315493,,163263,,165839,,724902,,1496476,,3834,,378,,965,,542420,,38137,,460551,,11503,,86,,442,,32054,,493,,3859,,6219,,2743,,2107,,8473,,12348,,2429,,876,,2610,,80466,,10553,,1630,,1640,,56383,,4920,,10074,
2019-08,60071,,217527,,66066,,27809,,4658,,26765,,1243945,,49280,,87412,,316798,,163138,,167486,,729505,,1507758,,3511,,522,,907,,541175,,37798,,465696,,11745,,135,,212,,31484,,420,,3376,,5555,,2529,,1684,,6856,,11450,,1855,,657,,2228,,80923,,8816,,1375,,1248,,47954,,3280,,7364,
2019-09,59625,,217918,,65179,,27581,,4636,,26538,,1250520,,51134,,87317,,315907,,164445,,167202,,730591,,1504996,,3322,,342,,820,,540525,,37218,,468092,,11961,,1000,,.,"No value available, comment",33243,,461,,3178,,5289,,2182,,1613,,6714,,11294,,2154,,630,,1973,,82352,,10331,,1320,,1224,,55486,,2877,,10138,
2019-10,58785,,217872,,64731,,27684,,4749,,26605,,1257680,,49728,,87489,,317081,,160244,,169633,,735730,,1519599,,2945,,404,,956,,539574,,36402,,477961,,10900,,155,,.,No value available,32063,,528,,3350,,5459,,2452,,1738,,7268,,11711,,2229,,635,,2123,,78810,,10875,,1503,,1313,,55298,,3647,,7913,
2019-11,57815,,217794,,63482,,27757,,4787,,26726,,1265217,,48412,,87638,,318019,,163260,,171713,,739461,,1550441,,2617,,674,,999,,538889,,35551,,476945,,11165,,389,,654,,30666,,493,,3056,,4821,,2206,,1663,,6889,,11475,,2022,,722,,2434,,80912,,10266,,1416,,1251,,48917,,3070,,7990,
2019-12,57910,,219819,,66312,,27528,,4610,,26616,,1268612,,50916,,87320,,316610,,162074,,171388,,737455,,1548036,,3590,,729,,818,,539678,,34476,,476493,,17148,,554,,911,,32556,,590,,2640,,3804,,2396,,1553,,6622,,9477,,2662,,1016,,2715,,79476,,10584,,1608,,1480,,73303,,4483,,11129,
2020-01,57198,,220060,,65777,,27355,,4755,,26351,,1271558,,49713,,87413,,317814,,161563,,169238,,741004,,1550487,,4181,,640,,939,,536842,,32999,,468336,,18221,,278,,158,,32270,,626,,3307,,6148,,2545,,1797,,7106,,10479,,2341,,782,,2521,,79819,,10775,,1509,,1289,,51717,,2121,,5911,
2020-02,56142,,220285,,65820,,26651,,4813,,26389,,1278139,,49019,,87595,,318929,,163079,,171573,,745056,,1571470,,3157,,388,,826,,535065,,32449,,462673,,12289,,158,,.,No value available,31840,,538,,3155,,5591,,2019,,1499,,6555,,10474,,1860,,666,,2213,,81754,,9727,,1329,,1121,,43225,,3425,,7058,
2020-03,54034,,219797,,68925,,26158,,4755,,26516,,1284212,,49209,,87284,,318802,,182434,,174636,,746742,,1567320,,2538,,286,,658,,531723,,31794,,482538,,20845,,235,,.,No value available,32857,,483,,3209,,6050,,2503,,1872,,8045,,12894,,2347,,821,,2578,,88517,,10920,,1666,,1467,,69385,,3884,,9067,
