"",BBFB1.M.N.DE.W1.S1.S1.T.C.IN2._Z._Z._Z._T._X.N,BBFB1.M.N.DE.W1.S1.S1.T.C.IN2._Z._Z._Z._T._X.N_FLAGS,BBFB1.M.N.DE.W1.S1.S1.T.D.IN2._Z._Z._Z._T._X.N,BBFB1.M.N.DE.W1.S1.S1.T.D.IN2._Z._Z._Z._T._X.N_FLAGS,BBFB1.M.N.DE.W1.S1.S1.T.B.IN2._Z._Z._Z._T._X.N,BBFB1.M.N.DE.W1.S1.S1.T.B.IN2._Z._Z._Z._T._X.N_FLAGS,BBFB1.M.N.DE.W1.S13.S1.T.C.IN2._Z._Z._Z._T._X.N,BBFB1.M.N.DE.W1.S13.S1.T.C.IN2._Z._Z._Z._T._X.N_FLAGS,BBFB1.M.N.DE.W1.S13.S1.T.C.D5._Z._Z._Z._T._X.N,BBFB1.M.N.DE.W1.S13.S1.T.C.D5._Z._Z._Z._T._X.N_FLAGS,BBFB1.M.N.DE.W1.S13.S1.T.D.IN2._Z._Z._Z._T._X.N,BBFB1.M.N.DE.W1.S13.S1.T.D.IN2._Z._Z._Z._T._X.N_FLAGS,BBFB1.M.N.DE.W1.S13.S1.T.D.D76._Z._Z._Z._T._X.N,BBFB1.M.N.DE.W1.S13.S1.T.D.D76._Z._Z._Z._T._X.N_FLAGS,BBFB1.M.N.DE.W1.S13.S1.T.D.D62._Z._Z._Z._T._X.N,BBFB1.M.N.DE.W1.S13.S1.T.D.D62._Z._Z._Z._T._X.N_FLAGS,BBFB1.M.N.DE.W1.S13.S1.T.B.IN2._Z._Z._Z._T._X.N,BBFB1.M.N.DE.W1.S13.S1.T.B.IN2._Z._Z._Z._T._X.N_FLAGS,BBFB1.M.N.DE.W1.S1W.S1.T.C.IN2._Z._Z._Z._T._X.N,BBFB1.M.N.DE.W1.S1W.S1.T.C.IN2._Z._Z._Z._T._X.N_FLAGS,BBFB1.M.N.DE.W1.S1W.S1.T.D.IN2._Z._Z._Z._T._X.N,BBFB1.M.N.DE.W1.S1W.S1.T.D.IN2._Z._Z._Z._T._X.N_FLAGS,BBFB1.M.N.DE.W1.S1W.S1.T.D.D752._Z._Z._Z._T._X.N,BBFB1.M.N.DE.W1.S1W.S1.T.D.D752._Z._Z._Z._T._X.N_FLAGS,BBFB1.M.N.DE.W1.S1W.S1.T.D.D752W._Z._Z._Z._T._X.N,BBFB1.M.N.DE.W1.S1W.S1.T.D.D752W._Z._Z._Z._T._X.N_FLAGS,BBFB1.M.N.DE.W1.S1W.S1.T.D.D61._Z._Z._Z._T._X.N,BBFB1.M.N.DE.W1.S1W.S1.T.D.D61._Z._Z._Z._T._X.N_FLAGS,BBFB1.M.N.DE.W1.S1W.S1.T.B.IN2._Z._Z._Z._T._X.N,BBFB1.M.N.DE.W1.S1W.S1.T.B.IN2._Z._Z._Z._T._X.N_FLAGS
1992-06,2633.252,,6394.659,,-3761.407,,751.686,,533.352,,3421.046,,2175.628,,471.982,,-2669.360,,1881.566,,2973.613,,554.000,,554.000,,74.748,,-1092.047,
1992-07,2843.252,,7617.864,,-4774.612,,836.359,,539.891,,4363.222,,2175.629,,555.802,,-3526.863,,2006.893,,3254.642,,631.000,,631.000,,82.890,,-1247.749,
1992-08,2664.523,,6586.578,,-3922.055,,358.117,,124.660,,3471.156,,2175.629,,507.447,,-3113.039,,2306.406,,3115.422,,581.000,,581.000,,80.856,,-809.016,
1992-09,2556.934,,6352.280,,-3795.346,,554.707,,312.211,,3252.233,,2175.629,,493.525,,-2697.526,,2002.227,,3100.047,,531.000,,531.000,,76.717,,-1097.820,
1992-10,2282.262,,6992.149,,-4709.887,,210.556,,36.557,,3620.705,,2187.369,,530.735,,-3410.149,,2071.706,,3371.444,,631.000,,631.000,,90.718,,-1299.738,
1992-11,2770.254,,5755.200,,-2984.946,,664.514,,242.024,,2646.545,,1217.206,,512.661,,-1982.031,,2105.740,,3108.655,,431.000,,431.000,,89.511,,-1002.915,
1992-12,2902.933,,8386.590,,-5483.657,,745.445,,535.414,,4867.362,,3432.591,,537.737,,-4121.917,,2157.488,,3519.228,,796.000,,796.000,,93.772,,-1361.740,
1993-01,3213.487,,7570.667,,-4357.180,,1005.434,,72.475,,4279.734,,2153.583,,550.518,,-3274.300,,2208.053,,3290.933,,485.000,,485.000,,74.181,,-1082.880,
1993-02,2549.117,,6932.287,,-4383.170,,345.476,,5.933,,3710.833,,2378.312,,524.126,,-3365.357,,2203.641,,3221.454,,485.000,,485.000,,70.920,,-1017.813,
1993-03,2881.377,,6848.869,,-3967.492,,568.368,,289.595,,3421.851,,2265.947,,521.943,,-2853.483,,2313.009,,3427.018,,535.000,,535.000,,75.397,,-1114.009,
1993-04,2616.500,,7476.691,,-4860.191,,341.197,,118.665,,3913.761,,2265.947,,519.005,,-3572.564,,2275.303,,3562.930,,579.000,,579.000,,67.996,,-1287.627,
1993-05,2788.434,,6972.910,,-4184.476,,501.333,,290.697,,3465.906,,2265.947,,542.186,,-2964.573,,2287.101,,3507.004,,579.000,,579.000,,71.815,,-1219.903,
1993-06,2951.075,,7132.169,,-4181.094,,500.147,,266.248,,3677.475,,2265.947,,524.967,,-3177.328,,2450.928,,3454.694,,579.000,,579.000,,68.995,,-1003.766,
1993-07,2693.159,,7588.688,,-4895.529,,325.640,,132.990,,3993.495,,2304.247,,579.978,,-3667.855,,2367.519,,3595.193,,649.000,,649.000,,69.862,,-1227.674,
1993-08,2641.671,,7652.116,,-5010.445,,322.633,,128.773,,4083.150,,2265.947,,553.362,,-3760.517,,2319.038,,3568.966,,649.000,,649.000,,67.949,,-1249.928,
1993-09,2887.642,,7020.353,,-4132.711,,432.956,,238.966,,3522.351,,2265.947,,583.502,,-3089.395,,2454.686,,3498.002,,549.000,,549.000,,68.705,,-1043.316,
1993-10,2610.291,,7448.342,,-4838.051,,251.910,,51.609,,3944.461,,2291.923,,572.393,,-3692.551,,2358.381,,3503.881,,583.000,,583.000,,80.142,,-1145.500,
1993-11,3097.297,,7211.056,,-4113.759,,725.446,,302.267,,3598.103,,2080.745,,567.344,,-2872.657,,2371.851,,3612.953,,533.000,,533.000,,80.286,,-1241.102,
1993-12,3251.397,,10838.723,,-7587.326,,699.441,,400.609,,7114.974,,4628.748,,579.283,,-6415.533,,2551.956,,3723.749,,633.000,,633.000,,80.291,,-1171.793,
1994-01,3321.550,,9670.889,,-6349.339,,896.834,,381.274,,6079.657,,4440.107,,573.329,,-5182.823,,2424.716,,3591.232,,600.000,,600.000,,85.021,,-1166.516,
1994-02,2604.842,,8907.962,,-6303.120,,289.224,,124.450,,5364.818,,3525.492,,600.542,,-5075.594,,2315.618,,3543.144,,600.000,,600.000,,80.608,,-1227.526,
1994-03,2986.741,,5611.293,,-2624.552,,492.428,,345.642,,1923.694,,408.705,,575.108,,-1431.266,,2494.313,,3687.599,,700.000,,700.000,,80.044,,-1193.286,
1994-04,2666.489,,7601.609,,-4935.120,,380.410,,180.424,,3984.717,,2240.800,,619.042,,-3604.307,,2286.079,,3616.892,,600.000,,600.000,,80.824,,-1330.813,
1994-05,3068.886,,7579.106,,-4510.220,,673.747,,454.642,,3883.302,,2649.505,,567.935,,-3209.555,,2395.139,,3695.804,,600.000,,600.000,,80.361,,-1300.665,
1994-06,2974.587,,7550.460,,-4575.873,,545.029,,316.253,,3859.553,,2649.504,,609.170,,-3314.524,,2429.558,,3690.907,,600.000,,600.000,,78.639,,-1261.349,
1994-07,2855.981,,8599.493,,-5743.512,,426.992,,215.152,,4955.865,,2649.505,,654.372,,-4528.873,,2428.989,,3643.628,,600.000,,600.000,,80.142,,-1214.639,
1994-08,2671.861,,7641.878,,-4970.017,,350.681,,129.921,,3992.840,,2649.505,,664.924,,-3642.159,,2321.180,,3649.038,,600.000,,600.000,,80.592,,-1327.858,
1994-09,2822.892,,7697.723,,-4874.831,,382.236,,168.843,,4008.298,,2655.568,,589.268,,-3626.062,,2440.656,,3689.425,,700.000,,700.000,,81.474,,-1248.769,
1994-10,3025.762,,7694.578,,-4668.816,,645.226,,63.810,,4128.427,,2649.505,,623.419,,-3483.201,,2380.536,,3566.151,,600.000,,600.000,,92.233,,-1185.615,
1994-11,3055.355,,7735.773,,-4680.418,,690.893,,363.521,,4144.843,,2649.505,,630.975,,-3453.950,,2364.462,,3590.930,,600.000,,600.000,,91.902,,-1226.468,
1994-12,3079.605,,10191.481,,-7111.876,,644.465,,329.995,,6342.009,,4352.289,,614.525,,-5697.544,,2435.140,,3849.472,,700.000,,700.000,,93.121,,-1414.332,
1995-01,3570.644,,9254.105,,-5683.461,,1184.658,,234.709,,5558.618,,4138.131,,684.404,,-4373.960,,2385.986,,3695.487,,600.000,,600.000,,84.303,,-1309.501,
1995-02,2818.773,,8430.899,,-5612.126,,410.631,,221.787,,4915.696,,3683.679,,588.012,,-4505.065,,2408.142,,3515.203,,600.000,,600.000,,82.118,,-1107.061,
1995-03,2956.811,,6147.209,,-3190.398,,520.489,,236.083,,2318.585,,915.422,,639.455,,-1798.096,,2436.322,,3828.624,,700.000,,700.000,,83.054,,-1392.302,
1995-04,2921.246,,7804.841,,-4883.595,,465.580,,238.455,,4246.719,,2857.148,,614.376,,-3781.139,,2455.666,,3558.122,,600.000,,600.000,,83.415,,-1102.456,
1995-05,3210.931,,7937.105,,-4726.174,,716.387,,473.662,,4293.950,,2959.188,,627.249,,-3577.563,,2494.544,,3643.155,,600.000,,600.000,,83.113,,-1148.611,
1995-06,2944.618,,6326.255,,-3381.637,,600.858,,367.731,,2626.327,,1340.425,,622.814,,-2025.469,,2343.760,,3699.928,,700.000,,700.000,,81.066,,-1356.168,
1995-07,2989.790,,7618.727,,-4628.937,,581.330,,260.554,,3947.112,,2589.832,,625.272,,-3365.782,,2408.460,,3671.615,,600.000,,600.000,,87.089,,-1263.155,
1995-08,2750.731,,7440.010,,-4689.279,,381.056,,91.865,,3813.590,,2589.832,,658.654,,-3432.534,,2369.675,,3626.420,,600.000,,600.000,,85.406,,-1256.745,
1995-09,3078.413,,7461.826,,-4383.413,,754.163,,106.638,,3758.643,,2605.880,,612.092,,-3004.480,,2324.250,,3703.183,,700.000,,700.000,,81.720,,-1378.933,
1995-10,2964.228,,8187.772,,-5223.544,,539.592,,165.496,,4411.832,,2589.832,,614.810,,-3872.240,,2424.636,,3775.940,,600.000,,600.000,,99.851,,-1351.304,
1995-11,3189.528,,7431.967,,-4242.439,,787.082,,413.228,,3752.995,,2589.832,,668.803,,-2965.913,,2402.446,,3678.972,,600.000,,600.000,,96.807,,-1276.526,
1995-12,2861.557,,9975.296,,-7113.739,,494.616,,338.642,,6167.568,,4028.558,,617.714,,-5672.952,,2366.941,,3807.728,,700.000,,700.000,,103.093,,-1440.787,
1996-01,3171.021,,10120.956,,-6949.935,,738.040,,156.182,,6369.898,,5126.601,,653.067,,-5631.858,,2432.981,,3751.058,,616.742,,616.742,,89.570,,-1318.077,
1996-02,2880.795,,7319.793,,-4438.998,,450.346,,182.457,,3621.525,,2526.368,,610.981,,-3171.179,,2430.449,,3698.268,,616.742,,616.742,,88.182,,-1267.819,
1996-03,2973.438,,7348.626,,-4375.188,,539.584,,221.403,,3581.555,,1798.919,,629.449,,-3041.971,,2433.854,,3767.071,,616.742,,616.742,,85.573,,-1333.217,
1996-04,3173.508,,8130.056,,-4956.548,,562.334,,278.762,,4284.900,,3151.317,,622.480,,-3722.566,,2611.174,,3845.156,,616.742,,616.742,,88.407,,-1233.982,
1996-05,3043.521,,7856.656,,-4813.135,,577.736,,312.621,,4054.862,,3145.281,,618.809,,-3477.126,,2465.785,,3801.794,,616.742,,616.742,,87.176,,-1336.009,
1996-06,3275.655,,8105.107,,-4829.452,,834.791,,372.737,,4293.657,,3145.281,,641.394,,-3458.866,,2440.864,,3811.450,,616.742,,616.742,,85.676,,-1370.586,
1996-07,3820.801,,8498.278,,-4677.477,,1226.859,,801.753,,4635.921,,3246.699,,643.226,,-3409.062,,2593.942,,3862.357,,616.742,,616.742,,92.036,,-1268.415,
1996-08,2938.657,,8503.107,,-5564.450,,428.088,,126.306,,4705.785,,3145.281,,672.440,,-4277.697,,2510.569,,3797.322,,616.742,,616.742,,85.227,,-1286.753,
1996-09,3350.428,,4067.157,,-716.729,,805.887,,372.867,,184.854,,-884.852,,648.990,,621.033,,2544.541,,3882.303,,616.742,,616.742,,87.845,,-1337.762,
1996-10,3207.600,,7808.872,,-4601.272,,574.231,,213.047,,3872.284,,2707.936,,634.687,,-3298.053,,2633.369,,3936.588,,616.742,,616.742,,97.211,,-1303.219,
1996-11,3404.816,,8052.912,,-4648.096,,758.762,,249.521,,3999.519,,2707.936,,667.556,,-3240.757,,2646.054,,4053.393,,616.742,,616.742,,101.523,,-1407.339,
1996-12,3614.092,,8225.324,,-4611.232,,991.644,,641.771,,4265.621,,3039.785,,617.386,,-3273.977,,2622.448,,3959.703,,616.742,,616.742,,99.590,,-1337.255,
1997-01,3709.747,,12834.189,,-9124.442,,966.355,,73.799,,8567.272,,7056.888,,637.497,,-7600.917,,2743.392,,4266.917,,626.551,,626.551,,86.325,,-1523.525,
1997-02,3495.808,,8830.186,,-5334.378,,785.405,,173.695,,4765.886,,3639.048,,621.795,,-3980.481,,2710.403,,4064.300,,626.551,,626.551,,85.134,,-1353.897,
1997-03,3271.822,,6966.694,,-3694.872,,541.276,,314.964,,2992.879,,2045.517,,543.491,,-2451.603,,2730.546,,3973.815,,626.551,,626.551,,84.435,,-1243.269,
1997-04,3332.517,,7324.047,,-3991.530,,509.637,,-8.054,,3165.046,,1861.712,,722.325,,-2655.409,,2822.880,,4159.001,,626.551,,626.551,,88.520,,-1336.121,
1997-05,3934.645,,7543.535,,-3608.890,,1026.877,,602.349,,3413.429,,2487.740,,622.817,,-2386.552,,2907.768,,4130.106,,626.551,,626.551,,83.179,,-1222.338,
1997-06,3757.776,,7948.110,,-4190.334,,999.624,,434.562,,3813.780,,2665.884,,672.420,,-2814.156,,2758.152,,4134.330,,626.551,,626.551,,86.116,,-1376.178,
1997-07,3562.243,,8504.579,,-4942.336,,797.930,,292.599,,4351.584,,2665.884,,619.411,,-3553.654,,2764.313,,4152.995,,626.551,,626.551,,85.721,,-1388.682,
1997-08,3771.991,,8774.223,,-5002.232,,914.251,,-4.939,,4508.122,,3316.593,,724.022,,-3593.871,,2857.740,,4266.101,,626.551,,626.551,,88.243,,-1408.361,
1997-09,3394.065,,8252.485,,-4858.420,,640.104,,105.102,,4168.829,,3200.315,,636.082,,-3528.725,,2753.961,,4083.656,,626.551,,626.551,,85.280,,-1329.695,
1997-10,3086.102,,8276.626,,-5190.524,,296.098,,-11.998,,4194.753,,3200.315,,679.260,,-3898.655,,2790.004,,4081.873,,626.551,,626.551,,100.329,,-1291.869,
1997-11,3468.726,,8430.240,,-4961.514,,768.542,,213.021,,4305.601,,3200.315,,629.950,,-3537.059,,2700.184,,4124.639,,626.551,,626.551,,97.459,,-1424.455,
1997-12,3753.683,,5283.937,,-1530.254,,795.140,,543.867,,1195.641,,-515.443,,673.948,,-400.501,,2958.543,,4088.296,,626.551,,626.551,,101.181,,-1129.753,
1998-01,2939.042,,13816.345,,-10877.303,,334.060,,46.775,,9829.530,,8558.066,,586.623,,-9495.470,,2604.982,,3986.815,,578.000,,578.000,,107.183,,-1381.833,
1998-02,3242.761,,9097.287,,-5854.526,,506.044,,141.816,,5187.137,,3997.517,,652.215,,-4681.093,,2736.717,,3910.150,,578.000,,578.000,,106.277,,-1173.433,
1998-03,3280.454,,7445.254,,-4164.800,,674.860,,363.222,,3503.361,,2128.690,,659.014,,-2828.501,,2605.594,,3941.893,,578.000,,578.000,,106.711,,-1336.299,
1998-04,3460.963,,7133.237,,-3672.274,,743.377,,392.414,,3187.228,,2003.569,,676.364,,-2443.851,,2717.586,,3946.009,,578.000,,578.000,,110.071,,-1228.423,
1998-05,4109.107,,7168.811,,-3059.704,,1463.382,,759.474,,3070.733,,2090.990,,644.128,,-1607.351,,2645.725,,4098.078,,578.000,,578.000,,106.861,,-1452.353,
1998-06,4487.363,,6686.962,,-2199.599,,1797.333,,1376.762,,2683.567,,1745.681,,635.874,,-886.234,,2690.030,,4003.395,,578.000,,578.000,,102.795,,-1313.365,
1998-07,3812.298,,7558.394,,-3746.096,,1037.797,,228.448,,3229.303,,1501.450,,685.747,,-2191.506,,2774.501,,4329.091,,578.000,,578.000,,107.865,,-1554.590,
1998-08,3198.193,,8587.290,,-5389.097,,423.974,,-24.921,,4471.993,,3141.013,,801.888,,-4048.019,,2774.219,,4115.297,,578.000,,578.000,,107.281,,-1341.078,
1998-09,3731.908,,8333.945,,-4602.037,,907.514,,178.711,,4115.137,,3125.444,,708.387,,-3207.623,,2824.394,,4218.808,,578.000,,578.000,,106.267,,-1394.414,
1998-10,3547.741,,8562.238,,-5014.497,,450.716,,51.395,,4168.040,,3125.444,,659.099,,-3717.324,,3097.025,,4394.198,,578.000,,578.000,,116.998,,-1297.173,
1998-11,3495.557,,8997.533,,-5501.976,,430.026,,151.627,,4654.143,,3125.113,,790.536,,-4224.117,,3065.531,,4343.390,,578.000,,578.000,,117.616,,-1277.859,
1998-12,3829.978,,7003.571,,-3173.593,,591.654,,376.807,,2427.092,,1242.048,,697.188,,-1835.438,,3238.324,,4576.479,,578.000,,578.000,,120.892,,-1338.155,
1999-01,2082.781,,6333.827,,-4251.046,,357.834,,134.642,,3986.498,,3350.402,,358.089,,-3628.664,,1724.947,,2347.329,,285.745,,285.745,,49.215,,-622.382,
1999-02,2103.064,,4610.401,,-2507.337,,294.725,,164.920,,2159.253,,1320.472,,341.021,,-1864.528,,1808.339,,2451.148,,285.745,,285.745,,48.141,,-642.809,
1999-03,2230.018,,3467.472,,-1237.454,,417.186,,142.613,,1061.382,,554.943,,351.913,,-644.196,,1812.832,,2406.090,,285.745,,285.745,,58.253,,-593.258,
1999-04,2651.540,,4409.842,,-1758.302,,662.643,,159.376,,1845.492,,1181.212,,344.016,,-1182.849,,1988.897,,2564.350,,285.745,,285.745,,48.564,,-575.453,
1999-05,2853.191,,4500.451,,-1647.260,,919.716,,662.736,,1869.834,,1381.799,,340.483,,-950.118,,1933.475,,2630.617,,285.745,,285.745,,51.120,,-697.142,
1999-06,2626.795,,4177.858,,-1551.063,,590.235,,224.591,,1487.911,,817.492,,370.690,,-897.676,,2036.560,,2689.947,,285.745,,285.745,,45.913,,-653.387,
1999-07,2828.250,,5071.696,,-2243.446,,760.182,,220.126,,2360.766,,1489.219,,356.360,,-1600.584,,2068.068,,2710.930,,285.745,,285.745,,54.811,,-642.862,
1999-08,2319.063,,4880.714,,-2561.651,,257.238,,20.671,,2166.266,,1542.267,,351.568,,-1909.028,,2061.825,,2714.448,,285.745,,285.745,,54.416,,-652.623,
1999-09,2425.927,,4743.894,,-2317.967,,351.602,,149.311,,2075.601,,1542.267,,344.218,,-1723.999,,2074.325,,2668.293,,285.745,,285.745,,48.551,,-593.968,
1999-10,2439.602,,4790.496,,-2350.894,,335.625,,23.658,,2064.635,,1542.267,,339.189,,-1729.010,,2103.977,,2725.861,,285.745,,285.745,,51.073,,-621.884,
1999-11,2290.133,,4803.569,,-2513.436,,230.643,,35.756,,2086.040,,1273.242,,363.828,,-1855.397,,2059.490,,2717.529,,285.745,,285.745,,50.405,,-658.039,
1999-12,2917.308,,4678.997,,-1761.689,,801.181,,542.773,,1927.043,,1102.524,,384.915,,-1125.862,,2116.127,,2751.954,,285.745,,285.745,,67.871,,-635.827,
2000-01,2102.608,,6996.029,,-4893.421,,178.184,,-19.820,,4065.024,,3323.557,,371.511,,-3886.840,,1924.424,,2931.005,,288.143,,288.143,,54.831,,-1006.581,
2000-02,2159.267,,4271.490,,-2112.223,,266.365,,118.385,,1675.839,,950.286,,348.406,,-1409.474,,1892.902,,2595.651,,288.143,,288.143,,55.021,,-702.749,
2000-03,2733.782,,4456.162,,-1722.380,,759.298,,141.445,,1715.042,,1148.916,,359.534,,-955.744,,1974.484,,2741.120,,288.143,,288.143,,55.799,,-766.636,
2000-04,2583.081,,5103.080,,-2519.999,,618.399,,420.021,,2438.357,,1646.352,,373.815,,-1819.958,,1964.682,,2664.723,,288.143,,288.143,,58.004,,-700.041,
2000-05,3073.386,,5038.026,,-1964.640,,1058.267,,603.421,,2204.954,,1646.352,,364.767,,-1146.687,,2015.119,,2833.072,,288.143,,288.143,,57.124,,-817.953,
2000-06,2520.059,,4667.535,,-2147.476,,517.978,,307.409,,1881.690,,1301.441,,387.052,,-1363.712,,2002.081,,2785.845,,288.143,,288.143,,58.649,,-783.764,
2000-07,2615.281,,5533.770,,-2918.489,,473.899,,251.177,,2595.419,,1569.824,,376.672,,-2121.520,,2141.382,,2938.351,,288.143,,288.143,,57.376,,-796.969,
2000-08,2654.596,,5065.958,,-2411.362,,400.166,,174.103,,2157.627,,1646.352,,370.546,,-1757.461,,2254.430,,2908.331,,288.143,,288.143,,59.295,,-653.901,
2000-09,2599.285,,3922.784,,-1323.499,,439.071,,169.977,,1095.971,,529.690,,389.251,,-656.900,,2160.214,,2826.813,,288.143,,288.143,,57.318,,-666.599,
2000-10,2481.621,,5315.616,,-2833.995,,19.074,,-190.117,,2082.148,,1518.348,,360.900,,-2063.074,,2462.547,,3233.468,,288.143,,288.143,,58.185,,-770.921,
2000-11,2894.115,,5552.244,,-2658.129,,390.886,,35.921,,2259.000,,1518.348,,373.065,,-1868.114,,2503.229,,3293.244,,288.143,,288.143,,56.808,,-790.015,
2000-12,3110.969,,5603.869,,-2492.900,,632.734,,423.028,,2405.014,,1639.417,,381.189,,-1772.280,,2478.235,,3198.855,,288.143,,288.143,,76.377,,-720.620,
2001-01,3080.028,,6716.115,,-3636.087,,446.881,,36.036,,3276.288,,2421.314,,361.871,,-2829.407,,2633.147,,3439.827,,293.366,,293.366,,62.343,,-806.680,
2001-02,2966.259,,5228.783,,-2262.524,,284.081,,141.222,,1619.994,,837.160,,360.288,,-1335.913,,2682.178,,3608.789,,293.366,,293.366,,61.732,,-926.611,
2001-03,3006.753,,5766.885,,-2760.132,,333.052,,178.807,,2186.720,,1624.881,,362.547,,-1853.668,,2673.701,,3580.165,,293.366,,293.366,,60.008,,-906.464,
2001-04,3852.929,,5927.613,,-2074.684,,975.186,,412.109,,2143.736,,1624.881,,356.682,,-1168.550,,2877.743,,3783.877,,293.366,,293.366,,64.039,,-906.134,
2001-05,3682.057,,6229.695,,-2547.638,,798.550,,597.889,,2301.593,,1624.882,,341.803,,-1503.043,,2883.507,,3928.102,,293.366,,293.366,,60.746,,-1044.595,
2001-06,3346.154,,6162.851,,-2816.697,,483.054,,261.574,,2340.049,,1624.881,,369.622,,-1856.995,,2863.100,,3822.802,,293.366,,293.366,,65.166,,-959.702,
2001-07,4003.285,,6460.585,,-2457.300,,763.599,,242.393,,2586.682,,1624.881,,377.442,,-1823.083,,3239.686,,3873.903,,293.366,,293.366,,66.383,,-634.217,
2001-08,3262.956,,4733.021,,-1470.065,,296.885,,74.884,,833.885,,37.651,,369.447,,-537.000,,2966.071,,3899.136,,293.366,,293.366,,73.645,,-933.065,
2001-09,3928.121,,5744.847,,-1816.726,,690.260,,52.717,,1995.930,,1426.493,,368.856,,-1305.670,,3237.861,,3748.917,,293.366,,293.366,,63.055,,-511.056,
2001-10,3274.150,,5939.806,,-2665.656,,201.909,,-13.664,,2106.205,,1466.778,,368.028,,-1904.296,,3072.241,,3833.601,,293.366,,293.366,,61.782,,-761.360,
2001-11,3062.190,,5653.729,,-2591.539,,167.627,,-19.757,,2004.220,,1426.494,,355.043,,-1836.593,,2894.563,,3649.509,,293.366,,293.366,,63.681,,-754.946,
2001-12,3448.574,,5505.007,,-2056.433,,497.945,,240.310,,1529.732,,799.898,,377.651,,-1031.787,,2950.629,,3975.275,,293.366,,293.366,,78.155,,-1024.646,
2002-01,3393.925,,6377.857,,-2983.932,,624.695,,105.051,,2637.143,,1666.507,,362.507,,-2012.448,,2769.230,,3740.714,,289.190,,289.190,,71.493,,-971.484,
2002-02,2967.649,,6476.834,,-3509.185,,145.510,,4.773,,2596.885,,1591.656,,362.389,,-2451.375,,2822.139,,3879.949,,289.190,,289.190,,70.882,,-1057.810,
2002-03,3190.563,,5824.951,,-2634.388,,295.205,,144.214,,2159.996,,1605.570,,368.817,,-1864.791,,2895.358,,3664.955,,289.190,,289.190,,71.144,,-769.597,
2002-04,3262.120,,5962.369,,-2700.249,,480.914,,198.355,,2286.032,,1605.571,,369.681,,-1805.118,,2781.206,,3676.337,,289.190,,289.190,,72.074,,-895.131,
2002-05,3614.500,,5932.262,,-2317.762,,848.042,,597.834,,2203.071,,1605.572,,363.358,,-1355.029,,2766.458,,3729.191,,289.190,,289.190,,72.655,,-962.733,
2002-06,3635.623,,6357.213,,-2721.590,,917.558,,384.821,,2248.057,,1605.570,,373.265,,-1330.499,,2718.065,,4109.156,,289.190,,289.190,,72.334,,-1391.091,
2002-07,3332.314,,5316.752,,-1984.438,,450.815,,123.258,,1575.397,,439.931,,371.711,,-1124.582,,2881.499,,3741.355,,289.190,,289.190,,74.758,,-859.856,
2002-08,3756.824,,5006.547,,-1249.723,,680.677,,1.365,,1375.829,,720.383,,384.801,,-695.152,,3076.147,,3630.718,,289.190,,289.190,,72.053,,-554.571,
2002-09,3384.482,,5671.258,,-2286.776,,505.402,,177.817,,1918.746,,1346.221,,375.087,,-1413.344,,2879.080,,3752.512,,289.190,,289.190,,73.258,,-873.432,
2002-10,3401.372,,6445.262,,-3043.890,,311.051,,72.925,,2114.561,,1346.221,,387.025,,-1803.510,,3090.321,,4330.701,,289.190,,289.190,,70.936,,-1240.380,
2002-11,3290.500,,5942.030,,-2651.530,,170.100,,-37.724,,1986.849,,1346.221,,375.940,,-1816.749,,3120.400,,3955.181,,289.190,,289.190,,72.672,,-834.781,
2002-12,4291.677,,5621.640,,-1329.963,,1040.863,,128.592,,1510.117,,784.109,,384.226,,-469.254,,3250.814,,4111.523,,289.190,,289.190,,91.567,,-860.709,
2003-01,3679.548,,7669.027,,-3989.479,,221.390,,83.741,,3388.294,,2323.722,,386.752,,-3166.904,,3458.158,,4280.733,,277.681,,277.681,,124.251,,-822.575,
2003-02,3602.758,,6382.654,,-2779.896,,144.816,,8.943,,2181.946,,1474.123,,374.636,,-2037.130,,3457.942,,4200.708,,277.681,,277.681,,78.864,,-742.766,
2003-03,6753.571,,8712.346,,-1958.775,,360.918,,124.368,,1584.825,,1027.610,,386.737,,-1223.907,,6392.653,,7127.521,,277.681,,277.681,,82.621,,-734.868,
2003-04,4212.471,,6720.752,,-2508.281,,573.651,,327.857,,2299.788,,1608.124,,385.584,,-1726.137,,3638.820,,4420.964,,277.681,,277.681,,80.880,,-782.144,
2003-05,4389.058,,6693.456,,-2304.398,,838.541,,553.620,,2210.782,,1608.124,,369.749,,-1372.241,,3550.517,,4482.674,,277.681,,277.681,,84.686,,-932.157,
2003-06,4691.726,,7001.470,,-2309.744,,928.006,,387.221,,2630.741,,1608.416,,401.227,,-1702.735,,3763.720,,4370.729,,277.681,,277.681,,80.811,,-607.009,
2003-07,4287.654,,7021.241,,-2733.587,,429.102,,-49.975,,2322.174,,1608.124,,391.657,,-1893.072,,3858.552,,4699.067,,277.681,,277.681,,87.553,,-840.515,
2003-08,3603.228,,6664.357,,-3061.129,,143.196,,-116.586,,2332.981,,1608.124,,379.714,,-2189.785,,3460.032,,4331.376,,277.681,,277.681,,83.182,,-871.344,
2003-09,4078.668,,6737.770,,-2659.102,,549.354,,169.814,,2200.906,,1608.124,,399.347,,-1651.552,,3529.314,,4536.864,,277.681,,277.681,,81.838,,-1007.550,
2003-10,3460.630,,5075.759,,-1615.129,,228.065,,-33.367,,1092.684,,425.622,,377.115,,-864.619,,3232.565,,3983.075,,277.681,,277.681,,83.191,,-750.510,
