Date;2947 - Exports (Fob) - Primary products - US$;2974 - Exports (Fob) - Semimanufactured products - US$;3001 - Exports (Fob) - Manufactured products - US$;3546 - International reserves - Total - monthly - US$ (million);3695 - Exchange rate - Free - United States dollar (purchase) - end of period - 3695 - c.m.u./US$;3698 - Exchange rate - Free - United States dollar (sale) - period average - 3698 - c.m.u./US$
03/2014;9,236,135,235 ;1,954,266,612 ;5,998,503,721 ;363,914 ;2.2624 ;2.3261
04/2014;10,607,342,024 ;2,144,493,291 ;6,467,907,526 ;366,717 ;2.2354 ;2.2328
05/2014;11,385,496,318 ;2,193,700,717 ;6,673,082,159 ;368,752 ;2.2384 ;2.2209
06/2014;10,861,393,747 ;2,339,187,318 ;6,737,185,292 ;373,516 ;2.2019 ;2.2355
07/2014;11,629,532,073 ;2,834,338,116 ;7,978,072,391 ;376,792 ;2.2668 ;2.2246
08/2014;9,801,290,992 ;2,562,133,443 ;7,478,231,690 ;379,157 ;2.2390 ;2.2680
09/2014;9,336,672,635 ;2,717,648,620 ;6,945,935,235 ;375,513 ;2.4504 ;2.3329
10/2014;8,139,928,687 ;2,801,596,487 ;6,844,582,936 ;375,833 ;2.4436 ;2.4483
11/2014;6,843,761,412 ;2,330,359,731 ;5,991,140,851 ;375,426 ;2.5595 ;2.5484
12/2014;7,578,806,558 ;2,514,013,778 ;6,877,524,891 ;363,551 ;2.6556 ;2.6394
01/2015;5,832,436,933 ;2,473,203,495 ;4,965,199,402 ;361,767 ;2.6617 ;2.6342
02/2015;4,991,233,152 ;1,896,561,666 ;4,862,117,528 ;362,547 ;2.8777 ;2.8165
03/2015;7,522,895,411 ;2,460,831,961 ;6,530,929,635 ;362,744 ;3.2074 ;3.1395
04/2015;7,545,566,098 ;1,716,790,274 ;5,500,918,231 ;364,473 ;2.9930 ;3.0432
05/2015;8,586,676,286 ;1,990,674,253 ;5,806,245,922 ;366,647 ;3.1781 ;3.0617
06/2015;9,531,016,067 ;2,248,850,333 ;7,364,206,189 ;368,668 ;3.1019 ;3.1117
07/2015;9,021,105,361 ;2,386,512,755 ;6,695,584,997 ;368,252 ;3.3934 ;3.2231
08/2015;7,318,100,931 ;2,169,931,000 ;5,619,113,392 ;368,159 ;3.6461 ;3.5143
09/2015;7,155,684,409 ;2,276,914,398 ;6,311,679,820 ;361,370 ;3.9722 ;3.9065
10/2015;7,269,336,803 ;2,353,152,134 ;6,032,106,762 ;361,230 ;3.8582 ;3.8801
11/2015;5,859,917,807 ;2,015,305,562 ;5,555,109,123 ;357,016 ;3.8499 ;3.7765
12/2015;6,466,393,412 ;2,469,668,263 ;7,484,833,949 ;356,464 ;3.9042 ;3.8711
01/2016;4,747,876,114 ;1,851,705,667 ;4,335,754,176 ;357,507 ;4.0422 ;4.0524
02/2016;5,242,576,908 ;2,283,094,988 ;5,540,347,280 ;359,368 ;3.9790 ;3.9737
03/2016;7,386,046,647 ;2,112,921,353 ;6,168,521,237 ;357,698 ;3.5583 ;3.7039
04/2016;7,738,510,779 ;1,836,768,403 ;5,431,532,998 ;362,201 ;3.4502 ;3.5658
05/2016;8,298,046,724 ;2,278,022,135 ;6,641,558,838 ;363,447 ;3.5945 ;3.5393
06/2016;7,817,498,386 ;2,443,744,255 ;6,093,607,281 ;364,152 ;3.2092 ;3.4245
07/2016;7,028,035,434 ;2,399,088,817 ;6,560,922,522 ;369,340 ;3.2384 ;3.2756
08/2016;7,225,352,706 ;2,700,810,110 ;6,617,985,056 ;369,541 ;3.2397 ;3.2097
09/2016;6,560,207,965 ;2,727,877,913 ;6,134,425,806 ;370,417 ;3.2456 ;3.2564
10/2016;5,669,263,888 ;2,231,351,649 ;5,514,033,567 ;367,528 ;3.1805 ;3.1858
11/2016;5,539,600,716 ;2,444,018,620 ;7,898,293,606 ;365,556 ;3.3961 ;3.3420
12/2016;5,905,726,080 ;2,653,119,118 ;6,981,626,770 ;365,016 ;3.2585 ;3.3523
01/2017;6,786,031,099 ;2,597,154,646 ;5,120,843,859 ;367,708 ;3.1264 ;3.1966
02/2017;7,364,538,452 ;2,205,356,552 ;5,545,685,950 ;368,981 ;3.0987 ;3.1042
03/2017;10,011,376,860 ;2,373,244,679 ;7,231,994,387 ;370,111 ;3.1678 ;3.1279
04/2017;9,000,587,535 ;2,108,347,449 ;6,141,339,285 ;374,945 ;3.1978 ;3.1362
05/2017;9,702,484,961 ;2,777,893,729 ;6,871,168,698 ;376,491 ;3.2431 ;3.2095
06/2017;9,587,645,414 ;2,989,726,100 ;6,747,577,536 ;377,175 ;3.3076 ;3.2954
07/2017;8,355,609,078 ;2,604,801,819 ;7,384,888,622 ;381,029 ;3.1301 ;3.2061
08/2017;8,974,116,100 ;2,791,827,960 ;7,264,504,374 ;381,843 ;3.1465 ;3.1509
09/2017;8,537,620,504 ;2,883,492,181 ;6,891,001,353 ;381,244 ;3.1674 ;3.1348
10/2017;8,465,732,691 ;2,956,881,395 ;6,997,493,827 ;380,351 ;3.2763 ;3.1912
11/2017;7,004,156,808 ;2,520,665,926 ;6,774,246,399 ;381,056 ;3.2610 ;3.2594
12/2017;7,273,421,749 ;2,624,747,098 ;7,282,746,978 ;373,972 ;3.3074 ;3.2919
01/2018;7,551,824,658 ;2,629,157,941 ;6,375,047,992 ;375,701 ;3.1618 ;3.2106
02/2018;6,829,698,944 ;2,255,557,359 ;7,918,130,318 ;377,035 ;3.2443 ;3.2415
03/2018;9,925,021,719 ;2,535,352,396 ;7,267,447,074 ;379,577 ;3.3232 ;3.2792
04/2018;10,013,178,890 ;2,392,110,266 ;6,845,126,471 ;379,979 ;3.4805 ;3.4075
05/2018;11,061,864,423 ;2,400,121,879 ;5,415,285,246 ;382,549 ;3.7364 ;3.6361
06/2018;9,556,387,647 ;2,911,050,185 ;7,170,673,397 ;379,500 ;3.8552 ;3.7732
07/2018;12,699,160,451 ;2,403,371,083 ;7,198,373,566 ;379,444 ;3.7543 ;3.8288
08/2018;10,578,194,026 ;2,114,233,754 ;8,684,490,681 ;381,393 ;4.1347 ;3.9298
09/2018;9,989,547,611 ;2,776,006,060 ;6,250,639,630 ;380,738 ;4.0033 ;4.1165
10/2018;11,319,452,861 ;2,867,576,080 ;7,584,561,745 ;380,290 ;3.7171 ;3.7584
11/2018;9,934,642,842 ;2,568,270,367 ;8,428,180,237 ;379,722 ;3.8627 ;3.7867
12/2018;9,733,960,672 ;2,625,281,795 ;6,984,979,361 ;374,715 ;3.8742 ;3.8851
01/2019;8,160,657,941 ;2,890,575,541 ;7,046,405,049 ;376,984 ;3.6513 ;3.7417
02/2019;8,097,913,640 ;1,957,379,350 ;5,857,734,672 ;378,448 ;3.7379 ;3.7236
03/2019;9,609,134,585 ;2,082,301,249 ;5,984,842,301 ;384,165 ;3.8961 ;3.8465
04/2019;10,385,117,435 ;2,398,246,796 ;6,666,189,345 ;383,799 ;3.9447 ;3.8962
05/2019;10,942,479,001 ;2,870,366,595 ;6,873,979,937 ;386,162 ;3.9401 ;4.0015
06/2019;9,683,186,490 ;2,443,789,903 ;5,987,008,660 ;388,092 ;3.8316 ;3.8588
07/2019;11,053,829,670 ;2,396,822,295 ;6,603,597,841 ;385,730 ;3.7643 ;3.7793
08/2019;10,312,930,074 ;2,302,968,422 ;6,135,025,530 ;386,478 ;4.1379 ;4.0200
09/2019;-;-;-;376,434 ;4.1638 ;4.1215
10/2019;-;-;-;369,836 ;4.0035 ;4.0870
11/2019;-;-;-;366,376 ;4.2234 ;4.1553
12/2019;-;-;-;356,884 ;4.0301 ;4.1096
01/2020;-;-;-;359,394 ;4.2689 ;4.1495
02/2020;-;-;-;362,460 ;4.4981 ;4.3410
03/2020;-;-;-;343,165 ;5.1981 ;4.8839
04/2020;-;-;-;339,317 ;5.4264 ;5.3256
05/2020;-;-;-;345,706 ;5.4257 ;5.6434
06/2020;-;-;-;348,781 ;5.4754 ;5.1966
07/2020;-;-;-;354,664 ;5.2027 ;5.2802
08/2020;-;-;-;356,092 ;5.4707 ;5.4612
09/2020;-;-;-;356,606 ;5.6401 ;5.3995
10/2020;-;-;-;354,546 ;5.7712 ;5.6258
11/2020;-;-;-;356,004 ;5.3311 ;5.4178
12/2020;-;-;-;355,620 ;5.1961 ;5.1456
01/2021;-;-;-;355,416 ;5.4753 ;5.3562
02/2021;-;-;-;356,070 ;5.5296 ;5.4165
03/2021;-;-;-;347,413 ;5.6967 ;5.6461
04/2021;-;-;-;350,996 ;5.4030 ;5.5621
05/2021;-;-;-;353,448 ;5.2316 ;5.2911
06/2021;-;-;-;352,486 ;5.0016 ;5.0319
07/2021;-;-;-;355,671 ;5.1210 ;5.1567
08/2021;-;-;-;370,395 ;5.1427 ;5.2517
09/2021;-;-;-;368,886 ;5.4388 ;5.2797
10/2021;-;-;-;367,927 ;5.6424 ;5.5400
11/2021;-;-;-;367,772 ;5.6193 ;5.5569
12/2021;-;-;-;362,204 ;5.5799 ;5.6514
01/2022;-;-;-;358,398 ;5.3568 ;5.5341
02/2022;-;-;-;357,740 ;5.1388 ;5.1966
03/2022;-;-;-;353,169 ;4.7372 ;4.9684
Source;MDIC/Secex;MDIC/Secex;MDIC/Secex;BCB-DSTAT;Sisbacen PTAX800;BCB-DSTAT
