"",BBK01.OU0115,BBK01.OU0115_FLAGS,BBK01.OU0116,BBK01.OU0116_FLAGS,BBK01.OU0123,BBK01.OU0123_FLAGS,BBK01.OU0175,BBK01.OU0175_FLAGS,BBK01.OU0176,BBK01.OU0176_FLAGS,BBK01.OU0355,BBK01.OU0355_FLAGS,BBK01.OU0138,BBK01.OU0138_FLAGS,BBK01.OU0139,BBK01.OU0139_FLAGS,BBK01.OU0142,BBK01.OU0142_FLAGS,BBK01.OUA185,BBK01.OUA185_FLAGS,BBK01.OUA186,BBK01.OUA186_FLAGS,BBK01.OV0115,BBK01.OV0115_FLAGS,BBK01.OV0116,BBK01.OV0116_FLAGS,BBK01.OV0123,BBK01.OV0123_FLAGS,BBK01.OV0175,BBK01.OV0175_FLAGS,BBK01.OV0176,BBK01.OV0176_FLAGS,BBK01.OV0355,BBK01.OV0355_FLAGS,BBK01.OV0138,BBK01.OV0138_FLAGS,BBK01.OV0139,BBK01.OV0139_FLAGS,BBK01.OV0142,BBK01.OV0142_FLAGS,BBK01.OVA185,BBK01.OVA185_FLAGS,BBK01.OVA186,BBK01.OVA186_FLAGS,BBK01.OUA187,BBK01.OUA187_FLAGS,BBK01.OU0184,BBK01.OU0184_FLAGS,BBK01.OU0178,BBK01.OU0178_FLAGS,BBK01.OUA188,BBK01.OUA188_FLAGS,BBK01.OU0179,BBK01.OU0179_FLAGS,BBK01.OUA189,BBK01.OUA189_FLAGS,BBK01.OUA190,BBK01.OUA190_FLAGS,BBK01.OU0144,BBK01.OU0144_FLAGS,BBK01.OU0149,BBK01.OU0149_FLAGS,BBK01.OU0337,BBK01.OU0337_FLAGS,BBK01.OU0307,BBK01.OU0307_FLAGS,BBK01.OU0150,BBK01.OU0150_FLAGS,BBK01.OVA187,BBK01.OVA187_FLAGS,BBK01.OV0184,BBK01.OV0184_FLAGS,BBK01.OV0178,BBK01.OV0178_FLAGS,BBK01.OVA188,BBK01.OVA188_FLAGS,BBK01.OV0179,BBK01.OV0179_FLAGS,BBK01.OVA189,BBK01.OVA189_FLAGS,BBK01.OVA190,BBK01.OVA190_FLAGS,BBK01.OV0144,BBK01.OV0144_FLAGS,BBK01.OV0149,BBK01.OV0149_FLAGS,BBK01.OV0337,BBK01.OV0337_FLAGS,BBK01.OV0307,BBK01.OV0307_FLAGS,BBK01.OV0150,BBK01.OV0150_FLAGS
1990-09,2792.043,,2604.793,,527.363,,501.688,,501.158,,0.530,,25.675,,5.680,,19.995,,2264.680,,1708.027,,33.080,,29.256,,23.007,,20.573,,20.571,,0.002,,2.434,,0.671,,1.763,,10.073,,5.656,,1596.298,,150.264,,1446.034,,50.866,,60.863,,612.843,,428.592,,38.558,,390.034,,114.167,,1.692,,12.202,,4.513,,1.555,,2.958,,1.287,,-0.144,,4.916,,3.590,,0.188,,3.402,,0.779,,-0.007,,0.055,
1990-10,2813.985,,2621.562,,526.923,,498.923,,498.391,,0.532,,28.000,,7.405,,20.595,,2287.062,,1720.753,,22.072,,16.899,,-0.310,,-2.635,,-2.637,,0.002,,2.325,,1.725,,0.600,,22.382,,12.726,,1607.418,,152.458,,1454.960,,52.203,,61.132,,621.808,,434.971,,40.347,,394.624,,117.402,,1.691,,12.245,,11.120,,2.194,,8.926,,1.337,,0.269,,8.965,,6.379,,1.789,,4.590,,3.235,,-0.001,,0.043,
1990-11,2830.637,,2637.843,,527.956,,499.819,,499.265,,0.554,,28.137,,7.786,,20.351,,2302.681,,1731.275,,17.922,,17.551,,1.103,,0.966,,0.944,,0.022,,0.137,,0.381,,-0.244,,16.819,,11.722,,1616.985,,156.121,,1460.864,,53.020,,61.270,,628.700,,440.154,,41.241,,398.913,,117.176,,1.693,,12.383,,10.767,,2.263,,8.504,,0.817,,0.138,,5.692,,5.183,,0.894,,4.289,,-0.226,,0.002,,0.138,
1990-12,2875.034,,2681.909,,548.152,,521.013,,520.882,,0.131,,27.139,,7.528,,19.611,,2326.882,,1750.456,,48.577,,48.016,,23.846,,24.844,,25.267,,-0.423,,-0.998,,-0.258,,-0.740,,24.731,,19.521,,1635.888,,159.935,,1475.953,,53.051,,61.517,,637.145,,443.729,,42.758,,400.971,,118.675,,1.657,,12.365,,19.203,,3.814,,15.389,,0.071,,0.247,,8.125,,3.575,,1.517,,2.058,,1.689,,-0.036,,-0.018,
1991-01,2874.430,,2689.934,,539.321,,516.304,,516.173,,0.131,,23.017,,7.140,,15.877,,2335.109,,1754.215,,1.146,,6.645,,-10.131,,-6.009,,-6.009,,-,Nothing exists,-4.122,,-0.388,,-3.734,,11.277,,5.299,,1644.821,,161.286,,1483.535,,50.322,,59.072,,642.780,,450.170,,44.406,,405.764,,116.519,,1.647,,12.558,,10.233,,2.651,,7.582,,-1.309,,-3.625,,7.145,,6.441,,1.648,,4.793,,-0.446,,-0.010,,-0.007,
1991-02,2877.971,,2694.297,,539.937,,515.887,,515.756,,0.131,,24.050,,8.003,,16.047,,2338.034,,1759.017,,14.101,,14.793,,6.046,,5.013,,5.013,,-,Nothing exists,1.033,,0.863,,0.170,,8.055,,9.802,,1648.794,,163.098,,1485.696,,51.010,,59.213,,652.015,,449.883,,44.287,,405.596,,114.840,,1.646,,12.648,,8.973,,1.812,,7.161,,0.688,,0.141,,-1.135,,-0.287,,-0.119,,-0.168,,-1.549,,-0.001,,0.090,
1991-03,2909.465,,2720.782,,554.611,,532.975,,532.975,,-,Nothing exists,21.636,,5.561,,16.075,,2354.854,,1769.648,,29.404,,24.285,,13.974,,16.388,,16.519,,-0.131,,-2.414,,-2.442,,0.028,,15.430,,9.151,,1657.863,,165.552,,1492.311,,52.659,,59.126,,659.784,,452.547,,45.906,,406.641,,118.295,,1.646,,12.710,,7.569,,2.454,,5.115,,1.669,,-0.087,,7.859,,2.664,,1.619,,1.045,,3.545,,-,Nothing exists,0.062,
1991-04,2925.085,,2737.261,,556.401,,532.221,,532.221,,-,Nothing exists,24.180,,8.344,,15.836,,2368.684,,1783.293,,15.870,,16.409,,1.720,,-0.824,,-0.824,,-,Nothing exists,2.544,,2.783,,-0.239,,14.150,,13.665,,1669.485,,168.634,,1500.851,,54.479,,59.329,,660.748,,455.149,,46.021,,409.128,,115.831,,1.646,,12.733,,11.622,,3.082,,8.540,,1.840,,0.203,,1.264,,2.602,,0.115,,2.487,,-2.164,,-,Nothing exists,0.023,
1991-05,2949.421,,2758.416,,562.688,,539.093,,539.093,,-,Nothing exists,23.595,,7.717,,15.878,,2386.733,,1795.276,,24.376,,21.195,,7.027,,7.612,,7.612,,-,Nothing exists,-0.585,,-0.627,,0.042,,17.349,,11.283,,1681.038,,172.374,,1508.664,,54.672,,59.566,,667.748,,458.186,,47.231,,410.955,,118.702,,1.646,,12.816,,10.853,,3.740,,7.113,,0.193,,0.237,,7.000,,3.037,,1.210,,1.827,,2.871,,-,Nothing exists,0.083,
1991-06,2980.707,,2789.260,,580.263,,557.317,,557.317,,-,Nothing exists,22.946,,7.497,,15.449,,2400.444,,1809.710,,30.936,,30.494,,17.225,,17.874,,17.874,,-,Nothing exists,-0.649,,-0.220,,-0.429,,13.711,,14.434,,1692.713,,176.286,,1516.427,,57.578,,59.419,,667.835,,459.567,,48.802,,410.765,,116.795,,1.540,,12.747,,11.675,,3.912,,7.763,,2.906,,-0.147,,0.087,,1.381,,1.571,,-0.190,,-1.907,,-0.106,,-0.069,
1991-07,2999.874,,2809.113,,577.067,,555.493,,555.493,,-,Nothing exists,21.574,,7.694,,13.880,,2422.807,,1828.302,,19.477,,20.163,,-2.886,,-1.514,,-1.514,,-,Nothing exists,-1.372,,0.197,,-1.569,,22.363,,18.592,,1710.984,,180.900,,1530.084,,57.833,,59.485,,672.133,,462.661,,48.506,,414.155,,117.383,,1.423,,12.796,,18.271,,4.614,,13.657,,0.255,,0.066,,4.298,,3.094,,-0.296,,3.390,,0.588,,-0.117,,0.049,
1991-08,3011.894,,2819.657,,571.047,,550.922,,550.450,,0.472,,20.125,,6.646,,13.479,,2440.847,,1844.704,,17.040,,15.564,,-2.100,,-0.651,,-1.123,,0.472,,-1.449,,-1.048,,-0.401,,19.140,,17.502,,1726.254,,184.359,,1541.895,,58.871,,59.579,,678.533,,463.870,,48.472,,415.398,,117.905,,1.419,,12.858,,16.370,,3.659,,12.711,,1.038,,0.094,,2.200,,1.209,,-0.034,,1.243,,0.522,,-0.004,,0.062,
1991-09,3033.659,,2839.199,,577.861,,560.140,,559.786,,0.354,,17.721,,6.438,,11.283,,2455.798,,1859.788,,22.085,,19.862,,7.134,,9.538,,9.656,,-0.118,,-2.404,,-0.208,,-2.196,,14.951,,15.084,,1739.251,,187.293,,1551.958,,61.017,,59.520,,678.072,,461.250,,49.138,,412.112,,120.072,,1.418,,12.954,,12.997,,2.934,,10.063,,2.146,,-0.059,,-0.461,,-2.620,,0.666,,-3.286,,2.167,,-0.001,,0.096,
1991-10,3060.207,,2866.196,,584.118,,562.876,,562.537,,0.339,,21.242,,9.962,,11.280,,2476.089,,1879.289,,26.518,,26.967,,6.227,,2.706,,2.721,,-0.015,,3.521,,3.524,,-0.003,,20.291,,19.501,,1756.713,,190.122,,1566.591,,62.820,,59.756,,678.576,,464.191,,49.013,,415.178,,117.923,,1.426,,13.037,,17.462,,2.829,,14.633,,1.803,,0.236,,0.504,,2.941,,-0.125,,3.066,,-2.149,,0.008,,0.083,
1991-11,3095.593,,2898.280,,590.335,,569.083,,568.726,,0.357,,21.252,,9.761,,11.491,,2505.258,,1901.688,,35.556,,32.254,,6.387,,6.377,,6.359,,0.018,,0.010,,-0.201,,0.211,,29.169,,22.399,,1776.655,,193.343,,1583.312,,65.197,,59.836,,684.448,,470.142,,50.509,,419.633,,118.614,,1.426,,13.160,,19.942,,3.221,,16.721,,2.377,,0.080,,5.872,,5.951,,1.496,,4.455,,0.691,,-,Nothing exists,0.123,
1991-12,3146.953,,2951.382,,601.968,,575.839,,575.478,,0.361,,26.129,,14.747,,11.382,,2544.985,,1941.815,,49.180,,51.892,,20.323,,15.446,,15.442,,0.004,,4.877,,4.986,,-0.109,,28.857,,30.227,,1814.057,,213.723,,1600.334,,65.802,,61.956,,682.924,,472.036,,51.276,,420.760,,115.540,,2.361,,13.108,,29.202,,4.480,,24.722,,0.605,,0.420,,-1.524,,1.894,,0.767,,1.127,,-3.074,,-0.035,,-0.052,
1992-01,3164.146,,2960.056,,593.574,,570.599,,570.242,,0.357,,22.975,,11.882,,11.093,,2570.572,,1955.484,,12.253,,3.374,,-10.794,,-7.070,,-7.066,,-0.004,,-3.724,,-3.435,,-0.289,,23.047,,11.469,,1828.187,,215.610,,1612.577,,65.003,,62.294,,693.850,,474.021,,50.746,,423.275,,125.066,,2.360,,13.430,,11.830,,1.887,,9.943,,-0.699,,0.338,,10.586,,1.385,,-0.530,,1.915,,9.786,,-0.001,,0.322,
1992-02,3181.396,,2970.317,,588.856,,568.382,,568.023,,0.359,,20.474,,9.916,,10.558,,2592.540,,1975.450,,16.460,,9.441,,-4.758,,-2.257,,-2.259,,0.002,,-2.501,,-1.966,,-0.535,,21.218,,19.186,,1842.799,,217.018,,1625.781,,70.434,,62.217,,695.057,,473.887,,48.665,,425.222,,127.096,,2.379,,13.475,,13.532,,1.908,,11.624,,5.431,,0.223,,1.237,,-0.134,,-2.081,,1.947,,2.060,,0.019,,0.045,
1992-03,3201.501,,2987.987,,591.150,,572.686,,572.306,,0.380,,18.464,,7.994,,10.470,,2610.351,,1993.920,,21.255,,18.880,,5.554,,7.564,,7.543,,0.021,,-2.010,,-1.922,,-0.088,,15.701,,16.420,,1858.894,,219.581,,1639.313,,72.975,,62.051,,695.245,,473.246,,49.456,,423.790,,126.838,,2.440,,13.496,,14.045,,2.563,,11.482,,2.541,,-0.166,,-1.012,,-0.641,,0.791,,-1.432,,-0.258,,0.001,,0.021,
1992-04,3243.275,,3016.301,,599.967,,575.859,,575.483,,0.376,,24.108,,14.291,,9.817,,2643.308,,2014.935,,29.154,,27.534,,8.787,,3.693,,3.697,,-0.004,,5.094,,5.747,,-0.653,,20.367,,19.715,,1878.865,,222.651,,1656.214,,73.768,,62.302,,694.576,,471.778,,49.166,,422.612,,128.185,,14.300,,13.582,,18.671,,3.070,,15.601,,0.793,,0.251,,-0.119,,-0.918,,-0.290,,-0.628,,1.347,,0.020,,0.086,
1992-05,3257.515,,3027.075,,595.763,,575.578,,575.212,,0.366,,20.185,,10.670,,9.515,,2661.752,,2031.498,,14.540,,10.954,,-3.224,,0.699,,0.709,,-0.010,,-3.923,,-3.621,,-0.302,,17.764,,15.963,,1895.179,,225.886,,1669.293,,74.034,,62.285,,696.516,,470.078,,47.959,,422.119,,131.715,,14.359,,13.651,,15.514,,3.235,,12.279,,0.466,,-0.017,,1.940,,-1.700,,-1.207,,-0.493,,3.530,,-0.021,,0.069,
1992-06,3296.599,,3059.512,,612.694,,592.049,,591.613,,0.436,,20.645,,11.109,,9.536,,2683.905,,2052.247,,39.264,,32.867,,18.361,,17.901,,17.831,,0.070,,0.460,,0.439,,0.021,,20.903,,19.749,,1910.706,,228.680,,1682.026,,79.285,,62.256,,697.664,,470.262,,48.655,,421.607,,133.033,,14.476,,13.566,,14.527,,2.794,,11.733,,5.251,,-0.029,,1.148,,0.184,,0.696,,-0.512,,1.318,,-0.133,,-0.085,
1992-07,3314.523,,3073.855,,605.205,,581.236,,580.879,,0.357,,23.969,,14.438,,9.531,,2709.318,,2071.921,,16.584,,13.103,,-7.029,,-10.353,,-10.274,,-0.079,,3.324,,3.329,,-0.005,,23.613,,17.974,,1932.183,,238.466,,1693.717,,77.392,,62.346,,701.067,,470.570,,47.776,,422.794,,138.402,,14.470,,13.439,,19.777,,2.786,,16.991,,-1.893,,0.090,,4.903,,0.308,,-0.879,,1.187,,5.369,,-0.106,,-0.127,
1992-08,3333.399,,3085.332,,598.802,,578.756,,578.526,,0.230,,20.046,,10.521,,9.525,,2734.597,,2091.758,,17.226,,11.847,,-5.303,,-1.380,,-1.253,,-0.127,,-3.923,,-3.917,,-0.006,,22.529,,19.157,,1949.702,,240.928,,1708.774,,79.475,,62.581,,704.296,,470.554,,46.105,,424.449,,141.773,,16.497,,13.448,,16.839,,2.462,,14.377,,2.083,,0.235,,3.179,,-0.066,,-1.671,,1.605,,3.371,,0.007,,0.009,
1992-09,3346.372,,3101.375,,596.914,,578.209,,577.993,,0.216,,18.705,,9.001,,9.704,,2749.458,,2110.790,,12.283,,14.753,,-1.878,,-0.537,,-0.523,,-0.014,,-1.341,,-1.520,,0.179,,14.161,,17.732,,1966.751,,248.091,,1718.660,,82.242,,61.797,,698.745,,472.294,,46.991,,425.303,,136.699,,15.832,,13.539,,15.749,,2.763,,12.986,,2.767,,-0.784,,-3.951,,1.740,,0.886,,0.854,,-5.074,,-0.065,,0.091,
1992-10,3404.327,,3128.605,,598.203,,575.697,,575.481,,0.216,,22.506,,12.961,,9.545,,2806.124,,2134.639,,34.485,,26.630,,3.489,,-0.312,,-0.312,,-,Nothing exists,3.801,,3.960,,-0.159,,30.996,,21.049,,1987.587,,254.274,,1733.313,,84.997,,62.055,,707.811,,476.916,,46.806,,430.110,,141.648,,38.721,,13.605,,18.036,,1.883,,16.153,,2.755,,0.258,,9.066,,4.622,,-0.185,,4.807,,4.949,,0.019,,0.066,
1992-11,3446.994,,3155.370,,600.792,,576.787,,576.571,,0.216,,24.005,,14.451,,9.554,,2846.202,,2155.230,,35.677,,26.465,,2.289,,0.790,,0.790,,-,Nothing exists,1.499,,1.490,,0.009,,33.388,,20.591,,2004.441,,256.919,,1747.522,,88.593,,62.196,,719.605,,483.947,,47.207,,436.740,,147.586,,45.361,,13.764,,16.854,,2.645,,14.209,,3.596,,0.141,,11.794,,7.031,,0.401,,6.630,,5.938,,-0.050,,0.159,
1992-12,3478.216,,3166.557,,597.243,,571.202,,570.986,,0.216,,26.041,,16.692,,9.349,,2880.973,,2167.503,,45.102,,44.497,,11.411,,9.375,,9.375,,-,Nothing exists,2.036,,2.241,,-0.205,,33.691,,30.673,,2011.524,,263.517,,1748.007,,90.320,,65.659,,734.062,,487.835,,47.632,,440.203,,147.200,,64.324,,13.861,,28.683,,1.598,,27.085,,1.727,,0.263,,2.407,,3.888,,0.425,,3.463,,-0.186,,-0.667,,0.047,
1993-01,3487.677,,3160.070,,576.783,,557.433,,557.215,,0.218,,19.350,,12.569,,6.781,,2910.894,,2182.238,,9.011,,-6.827,,-20.800,,-14.109,,-14.111,,0.002,,-6.691,,-4.123,,-2.568,,29.811,,14.735,,2017.161,,261.697,,1755.464,,99.646,,65.431,,747.956,,493.776,,47.066,,446.710,,158.363,,62.038,,13.918,,5.637,,-1.820,,7.457,,9.326,,-0.228,,14.394,,5.941,,-0.566,,6.507,,11.163,,-2.396,,0.057,
1993-02,3504.808,,3171.026,,579.000,,559.691,,559.460,,0.231,,19.309,,12.314,,6.995,,2925.808,,2192.921,,16.831,,10.656,,2.537,,2.578,,2.565,,0.013,,-0.041,,-0.255,,0.214,,14.294,,10.063,,2026.099,,259.494,,1766.605,,101.335,,65.487,,752.659,,493.552,,45.181,,448.371,,164.355,,60.097,,14.114,,8.318,,-3.303,,11.621,,1.689,,0.056,,4.703,,-0.224,,-1.885,,1.661,,5.992,,-1.941,,0.196,
1993-03,3534.835,,3191.483,,577.996,,559.364,,559.146,,0.218,,18.632,,12.020,,6.612,,2956.839,,2215.920,,30.317,,20.587,,2.326,,3.003,,3.016,,-0.013,,-0.677,,-0.294,,-0.383,,27.991,,19.799,,2042.826,,263.383,,1779.443,,107.569,,65.525,,760.111,,497.754,,45.908,,451.846,,168.186,,59.797,,14.212,,13.527,,-2.011,,15.538,,6.234,,0.038,,7.612,,4.202,,0.727,,3.475,,3.991,,-0.300,,0.098,
1993-04,3547.858,,3206.684,,571.642,,551.464,,551.248,,0.216,,20.178,,15.529,,4.649,,2976.216,,2232.787,,13.043,,15.271,,-4.784,,-6.330,,-6.328,,-0.002,,1.546,,3.509,,-1.963,,17.827,,15.367,,2056.702,,262.009,,1794.693,,110.502,,65.583,,762.760,,503.292,,45.624,,457.668,,167.812,,57.190,,14.330,,12.376,,-4.374,,16.750,,2.933,,0.058,,2.649,,5.538,,-0.284,,5.822,,-0.374,,-2.657,,0.118,
1993-05,3570.762,,3223.671,,567.709,,549.592,,549.376,,0.216,,18.117,,13.839,,4.278,,3003.053,,2249.512,,22.714,,16.797,,-2.723,,-0.662,,-0.662,,-,Nothing exists,-2.061,,-1.690,,-0.371,,25.437,,15.325,,2073.118,,262.277,,1810.841,,110.797,,65.597,,775.829,,507.306,,44.249,,463.057,,173.813,,57.130,,14.435,,15.016,,-2.132,,17.148,,0.295,,0.014,,13.069,,4.014,,-1.375,,5.389,,6.001,,-0.060,,0.105,
1993-06,3600.688,,3248.374,,570.190,,555.014,,554.783,,0.231,,15.176,,13.437,,1.739,,3030.498,,2268.961,,28.296,,24.033,,4.811,,7.752,,7.737,,0.015,,-2.941,,-0.402,,-2.539,,23.485,,16.449,,2090.088,,264.001,,1826.087,,113.275,,65.598,,782.324,,510.026,,44.744,,465.282,,178.339,,57.868,,14.442,,13.970,,-0.846,,14.816,,2.478,,0.001,,6.745,,2.720,,0.495,,2.225,,4.776,,-0.472,,0.007,
1993-07,3636.109,,3269.527,,564.263,,548.657,,548.426,,0.231,,15.606,,14.068,,1.538,,3071.846,,2289.288,,21.151,,20.743,,-6.087,,-6.517,,-6.517,,-,Nothing exists,0.430,,0.631,,-0.201,,27.238,,20.417,,2110.748,,262.873,,1847.875,,112.922,,65.618,,785.310,,516.126,,44.265,,471.861,,176.725,,74.150,,14.541,,20.410,,-1.628,,22.038,,-0.013,,0.020,,5.066,,6.100,,-0.479,,6.579,,0.466,,0.002,,0.099,
1993-08,3649.890,,3278.161,,555.022,,540.473,,540.473,,-,Nothing exists,14.549,,13.189,,1.360,,3094.868,,2305.366,,15.241,,11.394,,-7.181,,-6.124,,-5.893,,-0.231,,-1.057,,-0.879,,-0.178,,22.422,,16.778,,2127.635,,261.062,,1866.573,,111.830,,65.901,,791.936,,516.201,,41.738,,474.463,,182.786,,74.767,,14.762,,17.587,,-1.811,,19.398,,-1.092,,0.283,,5.646,,0.075,,-2.527,,2.602,,6.061,,-0.683,,0.221,
1993-09,3690.832,,3307.504,,561.956,,548.495,,548.495,,-,Nothing exists,13.461,,11.872,,1.589,,3128.876,,2332.950,,41.332,,29.703,,7.294,,8.382,,8.382,,-,Nothing exists,-1.088,,-1.317,,0.229,,34.038,,27.804,,2146.820,,259.382,,1887.438,,120.288,,65.842,,798.491,,519.559,,42.245,,477.314,,185.497,,75.162,,14.916,,19.185,,-3.480,,22.665,,8.678,,-0.059,,6.425,,3.358,,0.507,,2.851,,2.961,,-0.045,,0.154,
1993-10,3734.124,,3335.937,,555.232,,541.385,,541.385,,-,Nothing exists,13.847,,12.072,,1.775,,3178.892,,2367.127,,42.902,,28.103,,1.106,,-0.400,,-0.400,,-,Nothing exists,1.506,,1.320,,0.186,,41.796,,27.137,,2174.641,,257.049,,1917.592,,126.374,,66.112,,813.897,,526.564,,40.018,,486.546,,194.965,,74.299,,15.163,,20.781,,-2.333,,23.114,,6.086,,0.270,,14.286,,5.885,,-2.227,,8.112,,9.468,,-0.923,,0.247,
1993-11,3762.624,,3357.627,,554.487,,535.901,,535.901,,-,Nothing exists,18.586,,16.803,,1.783,,3208.137,,2387.498,,28.140,,21.400,,-1.035,,-5.774,,-5.774,,-,Nothing exists,4.739,,4.731,,0.008,,29.175,,20.371,,2193.613,,256.096,,1937.517,,127.798,,66.087,,822.766,,529.827,,37.176,,492.651,,201.807,,72.905,,15.396,,18.972,,-2.153,,21.125,,1.424,,-0.025,,8.869,,3.263,,-2.842,,6.105,,6.842,,-1.464,,0.233,
1993-12,3826.393,,3417.819,,563.153,,544.173,,540.778,,3.395,,18.980,,16.813,,2.167,,3263.240,,2441.811,,70.843,,61.856,,9.410,,9.016,,6.101,,2.915,,0.394,,0.010,,0.384,,61.433,,47.463,,2241.487,,253.946,,1987.541,,134.186,,66.138,,821.429,,537.144,,36.820,,500.324,,193.537,,75.289,,15.459,,48.314,,-3.050,,51.364,,-0.902,,0.051,,14.673,,7.317,,-0.356,,7.673,,7.740,,-0.446,,0.063,
1994-01,3834.702,,3417.227,,547.429,,528.722,,526.828,,1.894,,18.707,,16.581,,2.126,,3287.273,,2459.110,,11.317,,1.996,,-15.116,,-14.843,,-13.342,,-1.501,,-0.273,,-0.232,,-0.041,,26.433,,19.279,,2252.725,,256.153,,1996.572,,140.167,,66.218,,828.163,,539.246,,34.464,,504.782,,197.420,,75.868,,15.629,,13.218,,-1.853,,15.071,,5.981,,0.080,,7.154,,2.102,,-2.356,,4.458,,3.903,,0.979,,0.170,
1994-02,3850.765,,3421.203,,533.030,,517.946,,515.935,,2.011,,15.084,,13.235,,1.849,,3317.735,,2479.273,,16.380,,4.163,,-13.432,,-10.589,,-10.706,,0.117,,-2.843,,-2.566,,-0.277,,29.812,,20.203,,2269.884,,254.983,,2014.901,,142.936,,66.453,,838.462,,539.948,,32.456,,507.492,,207.390,,75.376,,15.748,,17.159,,-1.170,,18.329,,2.809,,0.235,,9.609,,-0.078,,-2.008,,1.930,,10.060,,-0.492,,0.119,
1994-03,3889.406,,3445.525,,542.540,,528.775,,528.107,,0.668,,13.765,,12.136,,1.629,,3346.866,,2498.522,,44.063,,29.744,,9.832,,11.151,,12.494,,-1.343,,-1.319,,-1.099,,-0.220,,34.231,,24.349,,2281.299,,249.141,,2032.158,,150.925,,66.298,,848.344,,541.856,,32.326,,509.530,,216.010,,74.649,,15.829,,16.515,,-5.842,,22.357,,7.989,,-0.155,,9.882,,1.908,,-0.130,,2.038,,8.620,,-0.727,,0.081,
1994-04,3906.698,,3453.653,,536.867,,522.525,,521.722,,0.803,,14.342,,12.663,,1.679,,3369.831,,2521.256,,17.324,,8.160,,-5.641,,-6.218,,-6.353,,0.135,,0.577,,0.527,,0.050,,22.965,,22.734,,2294.921,,244.119,,2050.802,,159.824,,66.511,,848.575,,541.907,,31.281,,510.626,,216.513,,74.226,,15.929,,13.622,,-5.652,,19.274,,8.899,,0.213,,0.231,,0.051,,-1.045,,1.096,,0.503,,-0.423,,0.100,
1994-05,3923.872,,3463.827,,531.126,,517.468,,516.836,,0.632,,13.658,,12.036,,1.622,,3392.746,,2538.837,,17.436,,10.436,,-5.479,,-4.795,,-4.624,,-0.171,,-0.684,,-0.627,,-0.057,,22.915,,17.581,,2310.370,,239.855,,2070.515,,161.864,,66.603,,853.909,,542.038,,30.291,,511.747,,222.018,,73.909,,15.944,,15.449,,-4.564,,20.013,,2.040,,0.092,,5.334,,0.131,,-0.990,,1.121,,5.505,,-0.317,,0.015,
1994-06,3956.414,,3495.047,,545.110,,530.299,,529.749,,0.550,,14.811,,13.147,,1.664,,3411.304,,2554.939,,32.202,,31.380,,13.764,,12.611,,12.693,,-0.082,,1.153,,1.111,,0.042,,18.438,,16.482,,2327.327,,240.350,,2086.977,,160.989,,66.623,,856.365,,542.380,,30.928,,511.452,,224.084,,74.080,,15.821,,17.337,,0.875,,16.462,,-0.875,,0.020,,1.956,,0.342,,0.637,,-0.295,,2.066,,-0.329,,-0.123,
1994-07,3983.908,,3512.131,,538.766,,524.740,,524.054,,0.686,,14.026,,12.834,,1.192,,3445.142,,2580.168,,27.551,,17.141,,-6.287,,-5.502,,-5.638,,0.136,,-0.785,,-0.313,,-0.472,,33.838,,25.229,,2347.532,,241.156,,2106.376,,165.980,,66.656,,864.974,,545.150,,30.705,,514.445,,231.156,,72.763,,15.905,,20.205,,0.806,,19.399,,4.991,,0.033,,8.609,,2.770,,-0.223,,2.993,,7.072,,-1.317,,0.084,
1994-08,4000.222,,3524.697,,533.145,,520.323,,518.840,,1.483,,12.822,,11.515,,1.307,,3467.077,,2602.508,,14.395,,10.492,,-5.565,,-4.361,,-5.158,,0.797,,-1.204,,-1.319,,0.115,,19.960,,20.035,,2367.086,,240.662,,2126.424,,168.232,,67.190,,864.569,,544.124,,29.738,,514.386,,232.809,,71.694,,15.942,,17.654,,-0.494,,18.148,,2.077,,0.304,,-0.075,,-1.026,,-0.967,,-0.059,,1.653,,-0.739,,0.037,
1994-09,4027.981,,3550.640,,546.784,,534.288,,533.566,,0.722,,12.496,,11.124,,1.372,,3481.197,,2615.238,,27.882,,26.066,,13.762,,14.088,,14.849,,-0.761,,-0.326,,-0.391,,0.065,,14.120,,12.730,,2376.150,,234.524,,2141.626,,171.822,,67.266,,865.959,,546.573,,30.337,,516.236,,231.247,,72.178,,15.961,,9.064,,-6.138,,15.202,,3.590,,0.076,,1.390,,2.449,,0.599,,1.850,,-1.562,,0.484,,0.019,
1994-10,4057.410,,3573.240,,551.287,,534.819,,534.095,,0.724,,16.468,,14.731,,1.737,,3506.123,,2636.717,,29.987,,23.158,,4.761,,0.789,,0.787,,0.002,,3.972,,3.607,,0.365,,25.226,,21.779,,2390.200,,231.516,,2158.684,,178.934,,67.583,,869.406,,550.653,,31.293,,519.360,,232.053,,70.722,,15.978,,14.350,,-3.008,,17.358,,7.112,,0.317,,3.447,,4.080,,0.956,,3.124,,0.806,,-1.456,,0.017,
1994-11,4095.262,,3611.829,,567.033,,542.325,,541.714,,0.611,,24.708,,22.892,,1.816,,3528.229,,2653.058,,37.545,,38.282,,15.439,,7.199,,7.312,,-0.113,,8.240,,8.161,,0.079,,22.106,,16.261,,2406.247,,228.621,,2177.626,,178.694,,68.117,,875.171,,556.717,,31.577,,525.140,,232.496,,69.816,,16.142,,15.967,,-2.895,,18.862,,-0.240,,0.534,,5.845,,6.144,,0.284,,5.860,,0.443,,-0.906,,0.164,
